day_idx,revenue,status,solve_time
0,188254.0581037906,optimal,40.67737793922424
1,183224.2143309864,optimal,42.981813192367554
2,99548.77255625719,optimal,36.02541184425354
3,123549.58401355348,optimal,38.34162783622742
4,146998.6178609889,optimal,42.44197726249695
5,231518.8447592183,optimal,37.485982179641724
6,198971.9203141891,optimal,41.794450998306274
7,203307.15038933948,optimal,39.6953399181366
8,198129.19197533792,optimal,33.866530895233154
9,204714.32234843366,optimal,34.235174894332886
10,164991.19884553505,optimal,40.40251278877258
11,189756.0637055687,optimal,63.69962978363037
12,158961.75425951768,optimal,37.445470094680786
13,193469.59792709866,optimal,35.923134088516235
14,161334.84575664627,optimal,50.95060086250305
15,186798.21121742405,optimal,37.32867383956909
16,163512.40111938497,optimal,43.73498487472534
17,156218.00121443687,optimal,37.988529205322266
18,215000.26711633938,optimal,39.67136597633362
19,145795.46695530505,optimal,39.99496293067932
20,100175.99597693188,optimal,37.54086899757385
21,262553.44546121784,optimal,28.99200677871704
22,170625.92818069083,optimal,128.888751745224
23,201234.17885493574,optimal,32.804391860961914
24,179983.66199517608,optimal,37.05211687088013
25,193558.33814185756,optimal,32.99733090400696
26,193011.27128210902,optimal,43.5893280506134
27,120020.64990128105,optimal,39.977513790130615
28,91594.29608359876,optimal,44.58510112762451
29,92883.86373054801,optimal,63.79430913925171
30,152891.61467645975,optimal,36.06631278991699
31,186672.87953549737,optimal,33.24301600456238
32,155210.91550026325,optimal,38.735326051712036
33,99337.6228690552,optimal,36.53563070297241
34,172156.14033092605,optimal,39.28416109085083
35,195478.3518265794,optimal,39.04955530166626
36,178794.03809155396,optimal,34.930973052978516
37,171772.4723934655,optimal,36.47905611991882
38,179110.09845319038,optimal,31.893658876419067
39,188926.31407426918,optimal,35.03786873817444
40,183114.8192522776,optimal,44.49178218841553
41,150694.59769474535,optimal,52.837979316711426
42,132693.2514109616,optimal,43.62791109085083
43,141350.89186535176,optimal,39.021155834198
44,178871.55538947805,optimal,33.28797173500061
45,170169.81212075584,optimal,41.32849884033203
46,207438.33969186858,optimal,45.46363711357117
47,197401.4447974066,optimal,44.40005707740784
48,168955.86627903546,optimal,38.30645298957825
49,191599.77412740822,optimal,39.75169587135315
50,197205.42465376068,optimal,40.41327500343323
51,50308.451939061764,optimal,42.23576331138611
52,169932.8120734036,optimal,36.92506003379822
53,182108.4896094004,optimal,33.833844900131226
54,168441.91250221746,optimal,42.07458996772766
55,211075.51878281927,optimal,39.599063873291016
56,197469.45378448535,optimal,43.04354786872864
57,195149.63687216226,optimal,34.745134115219116
58,185774.75178073117,optimal,32.592347145080566
59,212802.63486946494,optimal,34.290141105651855
60,176061.8454361402,optimal,46.11635994911194
61,202922.39818226063,optimal,40.63501191139221
62,151575.0121838415,optimal,45.97198414802551
63,164146.80110985707,optimal,28.84149670600891
64,121211.60302004771,optimal,36.86438202857971
65,173297.91055981818,optimal,32.83303713798523
66,176318.41344510054,optimal,42.221705198287964
67,190673.28377142857,optimal,38.525742053985596
68,212582.77517686746,optimal,32.95792579650879
69,147883.3523268848,optimal,35.17164897918701
70,42729.313024011935,optimal,43.97253394126892
71,57539.38055266189,optimal,41.751524925231934
72,189372.18261596304,optimal,32.81946897506714
73,162367.83076884277,optimal,31.110942840576172
74,183999.59877033677,optimal,40.19583511352539
75,151613.85613886162,optimal,32.60807490348816
76,185599.90793464895,optimal,31.904181003570557
77,16500.040838633464,optimal,54.661527156829834
78,12007.890320670402,optimal,38.50714612007141
79,51022.34431242629,optimal,33.36872720718384
80,13325.905302868938,optimal,36.38247299194336
81,29560.59237194661,optimal,54.68389129638672
82,48035.165752546294,optimal,47.56972002983093
83,20528.065003491312,optimal,22.075538873672485
84,104432.22777717322,optimal,33.375038862228394
85,142854.1551110547,optimal,37.4984929561615
86,166504.40098104745,optimal,34.194809913635254
87,141123.62413954933,optimal,28.759466886520386
88,66755.5125120839,optimal,27.49040699005127
89,44482.446869447136,optimal,35.50229787826538
90,156662.24269964505,optimal,28.598278045654297
91,88787.44034522671,optimal,34.421903133392334
92,105911.90696373828,optimal,35.3662006855011
93,115574.74348476685,optimal,34.21958899497986
94,96630.9194136497,optimal,36.44271993637085
95,149666.96891460975,optimal,32.794350147247314
96,85827.36695573549,optimal,39.39812898635864
97,107619.97280178992,optimal,37.3857216835022
98,193961.99988980894,optimal,32.250431060791016
99,188597.74865549002,optimal,25.741055011749268
100,127200.17698329005,optimal,33.28891110420227
101,70534.66845993014,optimal,36.03085517883301
102,83745.29409473675,optimal,38.5757839679718
103,41676.44514192703,optimal,44.71375393867493
104,-12380.60427458696,optimal,42.63805413246155
105,48776.4576812143,optimal,42.15946698188782
106,85605.28390791782,optimal,37.803163051605225
107,82888.23465503678,optimal,39.052488803863525
108,95344.89981940942,optimal,40.027392864227295
109,49075.854718138355,optimal,41.64374613761902
110,21822.174492258775,optimal,35.45756530761719
111,-5734.5978238503285,optimal,38.66723608970642
112,94993.89769996775,optimal,52.153597831726074
113,148791.54570217006,optimal,34.8425829410553
114,93191.46513308004,optimal,40.668362855911255
115,130161.19570287337,optimal,35.011070013046265
116,109363.99386190345,optimal,40.50762701034546
117,110278.04214498149,optimal,45.80953598022461
118,136664.35471650522,optimal,155.72518110275269
119,108246.4361376455,optimal,35.21512293815613
120,94294.72973156179,optimal,31.984410047531128
121,27530.59185727371,optimal,41.14425802230835
122,154490.18775367163,optimal,29.049702167510986
123,172619.63194313846,optimal,37.71933698654175
124,151009.14813808823,optimal,36.05117321014404
125,102030.33538355892,optimal,35.59511590003967
126,38127.16884782375,optimal,31.278686046600342
127,33497.25238536306,optimal,35.65423512458801
128,31288.144097218676,optimal,33.33935785293579
129,75184.33905082857,optimal,40.67066311836243
130,72078.75407714413,optimal,38.131317138671875
131,53477.894407914515,optimal,32.98309803009033
132,62635.02513541702,optimal,30.632402181625366
133,48722.15732545871,optimal,33.185171365737915
134,70602.32685335191,optimal,36.371161699295044
135,157852.10772796042,optimal,41.68556785583496
136,49523.30946923633,optimal,39.809712171554565
137,28699.25831544903,optimal,37.122504234313965
138,119237.67534383672,optimal,37.35785388946533
139,72439.65014834353,optimal,31.830981731414795
140,70270.40805232603,optimal,35.09530806541443
141,76100.85269115235,optimal,38.23701596260071
142,31546.050541268618,optimal,37.44240593910217
143,31534.401263868374,optimal,40.0728120803833
144,169049.2953330129,optimal,31.583410024642944
145,181224.3507421464,optimal,31.74019503593445
146,50736.37615365248,optimal,41.603896141052246
147,67216.19212500482,optimal,40.909817695617676
148,90969.56205996049,optimal,46.107988119125366
149,31652.589975980936,optimal,39.39350700378418
150,182254.80136257035,optimal,37.194257974624634
151,75297.5802103412,optimal,33.03468990325928
152,91117.7416777682,optimal,50.07155466079712
153,193302.45994563255,optimal,27.094189167022705
154,119330.05494986832,optimal,46.45043706893921
155,5071.6234973021965,optimal,42.640923261642456
156,101951.73290364225,optimal,36.01442193984985
157,154688.13098450124,optimal,35.81434917449951
158,61315.57338915052,optimal,35.16955327987671
159,-109708.3834186173,optimal,48.71341586112976
160,93159.8009418997,optimal,32.53579592704773
161,149258.2931913545,optimal,37.256242752075195
162,-20282.280768133693,optimal,43.41004014015198
163,171182.636566489,optimal,39.1623911857605
164,193052.436799634,optimal,39.39016389846802
165,14100.728777914217,optimal,31.79407286643982
166,-69641.64900007423,optimal,114.85169386863708
167,35766.155996789,optimal,33.9389910697937
168,206231.67795927098,optimal,25.786649227142334
169,79300.5014693586,optimal,33.14248085021973
170,76235.44212259747,optimal,39.77516579627991
171,1427.8808735516163,optimal,43.56172800064087
172,142084.36989283047,optimal,34.03540897369385
173,184666.68677047896,optimal,27.0514018535614
174,192331.30382467748,optimal,33.485021114349365
175,66417.04039487026,optimal,47.36133408546448
176,70369.29268820249,optimal,42.18212080001831
177,70887.38650677117,optimal,34.4731650352478
178,19966.486641438234,optimal,44.96809697151184
179,40867.559474087684,optimal,47.65374398231506
180,53077.951121446924,optimal,19.822678089141846
181,50727.01790510605,optimal,50.20617699623108
182,86660.55660744867,optimal,50.42650127410889
183,-5159.115560525075,optimal,45.20747685432434
184,-69345.36853772787,optimal,36.19680905342102
185,-48463.94409960598,optimal,41.17244577407837
186,81019.81935051324,optimal,31.89066219329834
187,160158.14761427432,optimal,30.096373081207275
188,49430.21948924664,optimal,45.362359046936035
189,62927.23473836937,optimal,44.7578010559082
190,99289.92412740961,optimal,43.47000765800476
191,149700.518141166,optimal,36.93218016624451
192,88649.98077442741,optimal,31.737521171569824
193,40232.87245924174,optimal,35.84022498130798
194,221872.40034466935,optimal,41.87254500389099
195,280419.2719820338,optimal,37.25185990333557
196,86793.6906397161,optimal,33.831043004989624
197,53745.94762430535,optimal,36.724858045578
198,78483.98749630533,optimal,39.44952321052551
199,18791.132903636226,optimal,35.9667649269104
200,159171.05673625186,optimal,97.82039403915405
201,124712.69706727749,optimal,31.494037866592407
202,226639.1853080414,optimal,34.03186511993408
203,91126.97410111151,optimal,33.09044408798218
204,33505.55236957743,optimal,41.06171703338623
205,219602.4167466895,optimal,37.22177982330322
206,258394.8058579607,optimal,31.41482901573181
207,200487.53545043783,optimal,33.235925912857056
208,228381.88671980455,optimal,30.430710077285767
209,214009.87514461463,optimal,31.47328209877014
210,79792.18833523038,optimal,38.25154113769531
211,6108.349858829701,optimal,45.232563972473145
212,83841.29681815639,optimal,49.8247230052948
213,174812.1555491012,optimal,31.00798988342285
214,131212.61659876147,optimal,34.178478717803955
215,200072.8109657787,optimal,33.5335807800293
216,203068.10701377108,optimal,30.21014094352722
217,221913.31916221743,optimal,33.46094083786011
218,220781.6678075616,optimal,29.211167097091675
219,159606.96999872825,optimal,32.079452991485596
220,145719.57739246977,optimal,31.76673674583435
221,36449.33829408342,optimal,44.79927611351013
222,180393.2667074175,optimal,123.9453387260437
223,196856.10998381663,optimal,33.26551294326782
224,140139.5640947205,optimal,30.768739223480225
225,213924.78700329785,optimal,33.38800311088562
226,196429.07703975908,optimal,32.89617919921875
227,70806.89029441508,optimal,36.10537099838257
228,119770.01403316467,optimal,38.041675090789795
229,131420.77024574846,optimal,35.114946126937866
230,179180.43513071322,optimal,34.00631022453308
231,115124.19140584551,optimal,35.73836278915405
232,175040.47854694008,optimal,40.86926198005676
233,125538.0410012373,optimal,34.255390882492065
234,134334.12137075767,optimal,34.586864948272705
235,66327.26736085945,optimal,35.34902334213257
236,15305.551696531787,optimal,39.606220960617065
237,159456.52352792307,optimal,36.97416305541992
238,128368.78986595412,optimal,37.35222101211548
239,115990.76298853784,optimal,38.03834795951843
240,90187.24470223529,optimal,34.34714484214783
241,112276.95473694263,optimal,36.16528105735779
242,44365.134156461514,optimal,40.15507388114929
243,55660.87505048334,optimal,39.29326009750366
244,-1514.4371962614932,optimal,34.87425780296326
245,38959.67592590337,optimal,40.422142028808594
246,-4469.733806253071,optimal,40.317574977874756
