day_idx,revenue,status,solve_time
0,188003.5099673027,optimal,7.137883186340332
1,181133.04798602356,optimal,7.445086240768433
2,93782.430922642,optimal,6.157147169113159
3,139786.66259519546,optimal,7.255801200866699
4,223540.18497259673,optimal,7.679649829864502
5,220803.13524048135,optimal,7.440169095993042
6,162505.2657669838,optimal,6.939624071121216
7,170220.6367755438,optimal,7.255850076675415
8,203349.2542735753,optimal,7.1683290004730225
9,186476.95915528174,optimal,7.729862689971924
10,177446.48737638036,optimal,8.35136890411377
11,183136.5972153343,optimal,7.57769513130188
12,174168.35977458797,optimal,7.226680755615234
13,202427.0499126822,optimal,7.614368200302124
14,179290.73828619556,optimal,6.738770961761475
15,180412.8930358094,optimal,7.898800849914551
16,168857.32364185515,optimal,8.747188806533813
17,169431.82043049892,optimal,8.164937973022461
18,194939.28144651,optimal,7.606060981750488
19,166294.22864107188,optimal,7.5756659507751465
20,119016.49890172784,optimal,8.416275978088379
21,189573.37901772084,optimal,6.485854864120483
22,195371.5334365692,optimal,7.62257194519043
23,222548.42398238895,optimal,7.01357102394104
24,196537.6531169491,optimal,6.458646059036255
25,183312.9038043717,optimal,6.659955978393555
26,196763.20803827432,optimal,8.362032890319824
27,127104.67343409148,optimal,8.026619911193848
28,96200.38719961778,optimal,7.9911789894104
29,97503.24619854186,optimal,10.947173118591309
30,183038.3774765192,optimal,6.4183669090271
31,204871.8658452955,optimal,6.776544809341431
32,133729.6278527797,optimal,6.497884035110474
33,96876.52825641607,optimal,8.447304248809814
34,140673.71835113308,optimal,7.2691991329193115
35,176393.7445061861,optimal,6.487237930297852
36,146841.4272144214,optimal,7.319498062133789
37,166735.23889906166,optimal,7.146663188934326
38,148161.5760271795,optimal,7.1381402015686035
39,169058.23265871516,optimal,6.817129135131836
40,188407.6685948509,optimal,7.252044677734375
41,180019.2191018729,optimal,9.508415937423706
42,164205.90567939283,optimal,7.560739040374756
43,150785.18503640112,optimal,8.474997282028198
44,171582.95689475682,optimal,7.310319185256958
45,188775.7942625801,optimal,6.971272230148315
46,177270.17320807694,optimal,7.049633026123047
47,178762.4246416032,optimal,7.211222171783447
48,191151.428966538,optimal,6.8835530281066895
49,178833.06387979645,optimal,6.94345498085022
50,176934.94428252004,optimal,8.216225624084473
51,62528.295710629325,optimal,9.585913896560669
52,167809.05843352986,optimal,8.630189895629883
53,182261.70751212531,optimal,7.711970090866089
54,166490.55572596155,optimal,6.678834915161133
55,174888.21489444873,optimal,6.47705078125
56,184364.47971157107,optimal,7.111548900604248
57,187771.80420483195,optimal,8.24179196357727
58,189309.03415786647,optimal,7.061311960220337
59,221285.96506492668,optimal,7.8478920459747314
60,183636.3489542536,optimal,8.802827835083008
61,173990.845964602,optimal,7.1639440059661865
62,171908.2028834531,optimal,6.2431559562683105
63,158578.02786707095,optimal,8.041267156600952
64,87327.4270467137,optimal,7.1812779903411865
65,186252.64981277322,optimal,7.771881818771362
66,186718.535505435,optimal,6.7832489013671875
67,142077.57743854352,optimal,7.884951114654541
68,212852.49214273356,optimal,7.242109298706055
69,125183.69485276188,optimal,7.930509090423584
70,35648.50799791084,optimal,11.308340072631836
71,62930.811351929064,optimal,8.080833911895752
72,191364.0494391308,optimal,7.217713117599487
73,198994.73419379335,optimal,6.712954998016357
74,164457.18177428786,optimal,6.743479013442993
75,127652.13739281971,optimal,5.016752004623413
76,168134.67395713006,optimal,6.981372833251953
77,23638.549513883405,optimal,9.01972508430481
78,5995.82597221416,optimal,7.548626184463501
79,26732.662069694004,optimal,7.000249147415161
80,13670.695853474197,optimal,7.157272100448608
81,36720.188285265795,optimal,5.832916975021362
82,1634.3940625117284,optimal,7.352638244628906
83,20232.652798513373,optimal,5.697528839111328
84,132738.72836901736,optimal,7.830646991729736
85,120059.4861300628,optimal,7.329080104827881
86,180681.9288557241,optimal,5.7713658809661865
87,141378.8967587013,optimal,6.15600323677063
88,38281.27739474276,optimal,7.243896961212158
89,55492.45635821376,optimal,6.932919979095459
90,105941.58625366056,optimal,8.757282972335815
91,84075.98440458968,optimal,7.49756383895874
92,91499.92930168439,optimal,7.441809892654419
93,135638.16624353488,optimal,7.343775033950806
94,110835.94888367763,optimal,8.363198041915894
95,193330.87269799627,optimal,7.304826736450195
96,91480.95253167358,optimal,7.765215158462524
97,79453.97665916037,optimal,6.9640491008758545
98,177155.13799085002,optimal,5.920536041259766
99,174367.3009205319,optimal,6.001492977142334
100,99557.98371807882,optimal,7.194998741149902
101,78983.00163373673,optimal,8.148031949996948
102,60798.2298028063,optimal,8.194512128829956
103,46345.61907252511,optimal,8.262158155441284
104,12050.875371073165,optimal,9.401867151260376
105,56023.35647681551,optimal,9.931335210800171
106,107860.23045101305,optimal,8.723380327224731
107,97494.93930794626,optimal,8.006691217422485
108,110049.08716595198,optimal,8.748903274536133
109,7820.3037399021105,optimal,8.131917953491211
110,47879.425023404474,optimal,8.804907083511353
111,-7994.627601092638,optimal,8.034360885620117
112,98892.47540675059,optimal,9.568592071533203
113,126233.62405340944,optimal,7.8813557624816895
114,79568.65706871676,optimal,8.513221740722656
115,126877.60582163616,optimal,8.12354302406311
116,112514.09123790704,optimal,7.929688215255737
117,114761.44142794311,optimal,9.332361936569214
118,126132.08446964293,optimal,7.703356742858887
119,85419.73656469067,optimal,7.301329135894775
120,77841.104836836,optimal,7.67989706993103
121,3148.7601915723635,optimal,7.856729745864868
122,151428.25325250474,optimal,7.4832069873809814
123,156263.64387138883,optimal,7.215014934539795
124,145766.0437275124,optimal,6.957628011703491
125,119613.58352047995,optimal,6.543853044509888
126,82075.04331580222,optimal,7.0268590450286865
127,21092.10592713394,optimal,8.305737257003784
128,47908.19939716405,optimal,7.212602853775024
129,73276.43310378466,optimal,8.978159189224243
130,21209.06428410574,optimal,7.127679824829102
131,86681.24642644668,optimal,7.1791229248046875
132,24754.75124740854,optimal,7.042134046554565
133,44038.41653127081,optimal,6.33467173576355
134,64735.26531237495,optimal,7.873008728027344
135,166325.45843429572,optimal,9.239662885665894
136,39930.99028336723,optimal,7.709735155105591
137,27269.66456033518,optimal,7.607550859451294
138,99585.51456126316,optimal,8.364328861236572
139,89372.86055350494,optimal,8.013008832931519
140,79177.5146346294,optimal,7.5336151123046875
141,64399.47669644651,optimal,7.276166915893555
142,49355.40439051187,optimal,7.976217746734619
143,20746.160926605146,optimal,7.9424498081207275
144,159387.75738768346,optimal,7.475873947143555
145,175536.9952010978,optimal,6.718869924545288
146,31772.79523714113,optimal,8.769664764404297
147,89021.52627749625,optimal,8.974159955978394
148,76020.64920744636,optimal,9.058043956756592
149,30969.413435398983,optimal,7.959098815917969
150,169483.1436809862,optimal,8.527512073516846
151,96822.53902009943,optimal,6.80263090133667
152,63967.647084166725,optimal,10.274439096450806
153,195359.1138613157,optimal,7.051206111907959
154,124643.0585349986,optimal,8.909913778305054
155,6060.563780890618,optimal,8.792946100234985
156,88149.65747019695,optimal,8.951954126358032
157,158637.58115730356,optimal,8.393635034561157
158,74290.31771554843,optimal,8.509538888931274
159,-127553.1422099337,optimal,10.666177988052368
160,95623.82323669837,optimal,6.469729900360107
161,164822.66756046706,optimal,7.814267873764038
162,-16650.111364740937,optimal,10.14930009841919
163,183904.587981953,optimal,8.264875888824463
164,131820.93500914524,optimal,7.35197901725769
165,27415.969172323043,optimal,8.266601085662842
166,-54125.299259146545,optimal,8.44037389755249
167,-9508.738927938402,optimal,7.071065902709961
168,177307.32455672527,optimal,7.06931209564209
169,62738.85853598144,optimal,6.961850166320801
170,89208.63428897443,optimal,10.04824709892273
171,-15292.806092082836,optimal,8.891329050064087
