day_idx,date,quarter,vfa_dp_revenue,oracle_revenue,capture_pct
1370,2025-01-01,1,172176.3625308844,289514.4813700811,59.470725511237724
1371,2025-01-02,1,186931.0922542827,284380.49261192285,65.73274085623603
1372,2025-01-03,1,217165.01539512805,328025.26857682527,66.20374593009954
1373,2025-01-04,1,146230.7674918225,338527.14488220983,43.19617191782459
1374,2025-01-05,1,166562.34935843153,241997.48207461287,68.82813322292208
1375,2025-01-06,1,179376.724478324,271727.13914374355,66.01354765062086
1376,2025-01-07,1,272124.3499286476,376488.92345777625,72.27951022552905
1377,2025-01-08,1,297558.0416176578,348083.9834053827,85.48455424653027
1378,2025-01-09,1,175256.9404957584,269682.2937247931,64.98644685757738
1379,2025-01-10,1,146361.19208834405,297808.9449601426,49.14600268569245
1380,2025-01-11,1,106247.67849531358,171567.6270367482,61.92757942181966
1381,2025-01-12,1,196975.23733198692,348621.19349793263,56.50122281884593
1382,2025-01-13,1,234600.3347327206,380839.56389645516,61.60083063126947
1383,2025-01-14,1,222830.41169824603,322206.8664543093,69.1575614605484
1384,2025-01-15,1,248694.11610222832,312266.7920240992,79.64155089633589
1385,2025-01-16,1,294655.09406842204,339431.2519365629,86.80847517349135
1386,2025-01-17,1,191652.72582408774,304319.9182592953,62.977384760201716
1387,2025-01-18,1,255021.29677453358,375805.88490009296,67.85984653814837
1388,2025-01-19,1,296342.58418742067,339472.870141846,87.29492405787724
1389,2025-01-20,1,273699.95464783383,334047.1038242042,81.9345390259307
1390,2025-01-21,1,291532.91247492144,361435.54988296615,80.65972275536278
1391,2025-01-22,1,303183.54725097714,382698.3168450128,79.22259751504525
1392,2025-01-23,1,221080.07436226623,309895.55821600044,71.34018817016123
1393,2025-01-24,1,125038.12639481397,263951.9841355074,47.37154251912046
1394,2025-01-25,1,59354.3229267018,156563.28293218208,37.91075520076574
1395,2025-01-26,1,240650.28539836407,406721.08215536876,59.1683824509581
1396,2025-01-27,1,253222.8964845262,373979.2240200453,67.71041817845834
1397,2025-01-28,1,306934.7652314704,360558.233006396,85.12765404694716
1398,2025-01-29,1,267938.6964657742,348141.2196726959,76.96264657131842
1399,2025-01-30,1,330501.7259875197,396914.40909223614,83.26775708228742
1400,2025-01-31,1,340907.8855665226,349653.5586925629,97.49876044198078
1401,2025-02-01,1,286147.85620234004,355813.5704797841,80.42072589207156
1402,2025-02-02,1,221721.70206842208,339652.8047815467,65.27892569914918
1403,2025-02-03,1,319545.54938311374,369648.9384056622,86.44568296647894
1404,2025-02-04,1,315257.3028124381,331760.98991167353,95.02542866669488
1405,2025-02-05,1,284391.11028044275,378800.5684211213,75.07673799588353
1406,2025-02-06,1,275678.2964604617,295000.01346126286,93.45026572233077
1407,2025-02-07,1,271067.3918716897,387840.27542279393,69.89150148890356
1408,2025-02-08,1,285236.7529927522,364373.35840255703,78.28145126835115
1409,2025-02-09,1,253757.20097698114,330527.5300970153,76.7733934000896
1410,2025-02-10,1,189193.4790935849,282886.7737669032,66.87957749819688
1411,2025-02-11,1,231925.81140565194,365524.1138082622,63.45020824735792
1412,2025-02-12,1,273127.1798809634,381323.2743605913,71.6261498433179
1413,2025-02-13,1,219963.7595914409,306472.7945207364,71.7726870130255
1414,2025-02-14,1,222629.32436172658,323147.69451139244,68.89398505483624
1415,2025-02-15,1,228618.14330655636,372386.35953229916,61.39272759445073
1416,2025-02-16,1,322067.462148422,361101.8002787665,89.19021226141481
1417,2025-02-17,1,180452.79034859705,285941.94549956085,63.10819143142263
1418,2025-02-18,1,282031.3527886919,402284.29406539723,70.10747298596836
1419,2025-02-19,1,261664.18200730262,340060.803632805,76.9462929017381
1420,2025-02-20,1,259305.54146684514,341542.36098761257,75.92192684884846
1421,2025-02-21,1,189090.40641379994,279376.49867593916,67.6830038711073
1422,2025-02-22,1,206084.66821226943,269719.6939651122,76.40697836433336
1423,2025-02-23,1,269809.0805479962,392786.83952678146,68.69096756730816
1424,2025-02-24,1,221818.73028136187,300285.37705977354,73.86930807396844
1425,2025-02-25,1,243853.02437974914,364027.45239591424,66.98753700436195
1426,2025-02-26,1,284283.5448381575,344800.85948357993,82.4486183891591
1427,2025-02-27,1,248826.34973382522,355721.37003294495,69.94978955320573
1428,2025-02-28,1,104810.41184602931,262996.64449231286,39.85237608196663
1429,2025-03-01,1,122179.19287838727,221190.1449579336,55.23717745274029
