day_idx,date,quarter,vfa_dp_revenue,oracle_revenue,capture_pct
1584,2025-03-04,1,112716.62192905092,327223.42601807945,34.44637913021032
1585,2025-03-05,1,183459.86558292928,208768.7858893788,87.87705729157229
1586,2025-03-06,1,197589.31514632213,227238.69793158473,86.95231795678163
1587,2025-03-07,1,57417.1320277489,108736.62582415095,52.80385665139544
1588,2025-03-08,1,252278.08898764034,295294.22478156,85.43278798434332
1589,2025-03-09,1,106302.54156214566,230755.81003926002,46.06711377887287
1590,2025-03-10,1,188526.8776673996,248607.26176039997,75.83321433671394
1591,2025-03-11,1,228646.40362112154,318352.96614425257,71.82166586678414
1592,2025-03-12,1,262401.00684337097,313670.3023874,83.65503678422554
1593,2025-03-13,1,223614.67505284076,254053.87963759847,88.01860273569588
1594,2025-03-14,1,214398.0699916391,295888.1293966166,72.45916570862295
1595,2025-03-15,1,167354.90749076422,272643.45248551335,61.38233138008567
1596,2025-03-16,1,230560.59695028563,391292.5521818266,58.922817637261915
1597,2025-03-17,1,174625.88552378202,256110.40121762318,68.18383193090163
1598,2025-03-18,1,280461.28271905764,321916.7193557567,87.12231016777795
1599,2025-03-19,1,211729.7132225298,283956.1531036,74.56422793038799
1600,2025-03-20,1,277751.1950742975,351326.91243837896,79.05776222680171
1601,2025-03-21,1,306682.98280457885,416150.266314,73.69525088160721
1602,2025-03-22,1,186513.00009197847,321284.1800647269,58.05234482893088
1603,2025-03-23,1,168182.20478887527,313517.42855500005,53.64365405905057
1604,2025-03-24,1,221052.09708771372,345778.55094437837,63.92880544035595
1605,2025-03-25,1,225031.04889157374,432174.33452679997,52.06950781516599
1606,2025-03-26,1,217776.63268698216,424987.49346560036,51.24306856917181
1607,2025-03-27,1,148753.47855771054,280293.82101995137,53.070552185708806
1608,2025-03-28,1,216827.77657393063,264352.05422,82.02235356699042
1609,2025-03-29,1,226918.8625003352,269970.7041519999,84.05314317829631
1610,2025-03-30,1,220408.75305300305,274180.96387200005,80.38805828835723
1611,2025-03-31,1,178513.24246055447,249415.22760240003,71.5727119697469
1612,2025-04-01,2,289990.309183158,354204.1984071817,81.870940685405
1613,2025-04-02,2,274613.7588144619,327645.9528668,83.81417698331904
1614,2025-04-03,2,236619.34520849795,255903.0812796,92.46443771810914
1615,2025-04-04,2,245220.757433918,335054.71043715003,73.18827337600342
1616,2025-04-05,2,276561.9584806788,315683.239396,87.6074254084023
1617,2025-04-06,2,237504.28040655213,295722.5791060774,80.31320473549569
1618,2025-04-07,2,273703.9306892463,355660.93768547353,76.95642160492041
1619,2025-04-08,2,265018.6269913671,293045.06662,90.436133270595
1620,2025-04-09,2,238355.4239461326,266165.48703405,89.55158935224397
1621,2025-04-10,2,215085.40557361866,263516.30641149695,81.62128883126857
1622,2025-04-11,2,257448.27155236847,275788.63613832067,93.3498476069356
1623,2025-04-12,2,71366.90495819543,159995.6993143,44.60551456323854
