day_idx,date,quarter,vfa_dp_revenue,oracle_revenue,capture_pct
1157,2025-01-01,1,50571.28644470536,203330.83132461467,24.871430522983033
1158,2025-01-02,1,99139.57901507115,162401.9373789421,61.04581054580825
1159,2025-01-03,1,76989.82443545642,136026.28704292612,56.59922512709662
1160,2025-01-04,1,71841.04875428852,124512.1824727097,57.698007799384996
1161,2025-01-05,1,97175.18803410679,128655.21126015703,75.53148223246575
1162,2025-01-06,1,87197.48640423096,146073.889295056,59.694095108332434
1163,2025-01-07,1,66163.23168743175,122096.00454583197,54.18951417250973
1164,2025-01-08,1,62939.38984859732,96186.24075810137,65.43492016377218
1165,2025-01-09,1,140839.2222625598,183827.70095146727,76.6147982777324
1166,2025-01-10,1,175486.53113732964,202068.01494580027,86.84527889502925
1167,2025-01-11,1,220884.84077763103,318586.6020532879,69.33274637226742
1168,2025-01-12,1,167445.4240354778,286715.6736990394,58.401210465822814
1169,2025-01-13,1,137462.36978714017,236650.3058455411,58.08670700677659
1170,2025-01-14,1,180952.41224905668,237485.50638560872,76.19513923314611
1171,2025-01-15,1,30444.705754289032,151564.45994260957,20.086968782666485
1172,2025-01-16,1,72060.2676794969,212807.91482530822,33.86164830318948
1173,2025-01-17,1,56115.66828382187,166532.16594700664,33.696594267367445
1174,2025-01-18,1,80251.72687321494,119283.79476321014,67.27797940409455
1175,2025-01-19,1,146359.32663304853,277167.6936364333,52.805334096776505
1176,2025-01-20,1,90375.86420266888,202949.7203118478,44.53115976893165
1177,2025-01-21,1,74436.38666034782,204994.51146112772,36.31140469556566
1178,2025-01-22,1,52787.01648799245,212491.49012774375,24.84194376737554
1179,2025-01-23,1,92812.68298038439,223080.0307089925,41.60510588303548
1180,2025-01-24,1,268073.1936704339,434008.7954994393,61.76676520160067
1181,2025-01-25,1,68291.22217251503,276852.58145849546,24.666998520565702
1182,2025-01-26,1,60481.41321142489,238963.06081937085,25.30994246727616
1183,2025-01-27,1,115895.97097213587,346841.7336109062,33.414655660252876
1184,2025-01-28,1,151338.94947517847,356756.67714279523,42.420775607404714
1185,2025-01-29,1,45644.39558277226,182337.99510112058,25.03284932877478
1186,2025-01-30,1,62252.04891371495,225096.49947494848,27.655716130158268
1187,2025-01-31,1,79894.55976506615,233575.49244464855,34.205026789785805
1188,2025-02-01,1,152898.78160703048,232205.41440280003,65.84634643436927
1189,2025-02-02,1,129630.01502617105,232995.33203539654,55.6363142101395
1190,2025-02-03,1,46929.15186241879,125030.73385256522,37.53409295170346
1191,2025-02-04,1,42906.917514164015,148736.57161369483,28.84759077653326
1192,2025-02-05,1,50939.58993555469,170811.39449592517,29.82212637855954
1193,2025-02-06,1,19392.395587620336,136288.42292090307,14.22893828544409
1194,2025-02-07,1,116941.08414680703,176542.06478123504,66.23978500065493
1195,2025-02-08,1,48928.56542514698,134187.0743443205,36.462949702292164
1196,2025-02-09,1,81416.20636302367,206515.49847115393,39.42377543852762
1197,2025-02-10,1,191901.77828588878,292673.8906703351,65.56846524517795
1198,2025-02-11,1,45164.051969238004,70789.29822517889,63.80067764702561
1199,2025-02-12,1,54016.55230717026,78473.96700999964,68.83372201673853
1200,2025-02-13,1,48213.295962939104,102769.02112211051,46.91423099734685
1201,2025-02-14,1,107408.99884578095,141972.55056925712,75.65476454082906
1202,2025-02-15,1,184056.67418100167,220641.61713920755,83.41883846186477
1203,2025-02-16,1,51202.084822859564,72981.48459766843,70.15763670076853
1204,2025-02-17,1,86937.18932735782,142718.94424643915,60.91496107008717
1205,2025-02-18,1,147037.83772317032,188201.77448050876,78.12776374135537
1206,2025-02-19,1,61183.43213057889,174094.29536908818,35.143846615345495
1207,2025-02-20,1,173398.73491595717,273951.52202689747,63.295408484327496
1208,2025-02-21,1,187338.57682929706,259723.2489881813,72.13007597861288
1209,2025-02-22,1,173273.28097955728,197609.3842065985,87.68474314883848
1210,2025-02-23,1,102010.5024832845,134498.77624465054,75.84492984362137
1211,2025-02-24,1,182505.4774269337,218913.268655786,83.36885130243108
1212,2025-02-25,1,216120.00994269317,240840.56761657435,89.7357169024626
1213,2025-02-26,1,207533.25438157504,270325.40761181037,76.77164207945802
1214,2025-02-27,1,125140.84809620828,188440.5331615811,66.4086680273317
1215,2025-02-28,1,72655.74424120312,134008.9485747085,54.21708401860816
1216,2025-03-01,1,122646.71040592686,204544.23055257884,59.9609727806036
1217,2025-03-02,1,81990.06959529714,182805.82619583284,44.85090617815668
1218,2025-03-03,1,195011.1733200856,246937.1364949693,78.97199104520209
1219,2025-03-04,1,159142.73446238897,256411.72279672493,62.06531149457323
1220,2025-03-05,1,67197.06473608306,141810.08701741736,47.385250336832385
1221,2025-03-06,1,143954.6170719047,222230.1692700748,64.77726113638407
1222,2025-03-07,1,140075.36211248868,221417.0776323943,63.26312478256422
1223,2025-03-08,1,115813.9294153979,161790.79154809736,71.58252228524921
1224,2025-03-09,1,114063.74144718878,242732.8960070834,46.99146400159136
1225,2025-03-10,1,76978.00137809635,164928.54821694695,46.67354573256748
1226,2025-03-11,1,89402.69391775902,158151.1162573179,56.529916470711115
1227,2025-03-12,1,109689.63719879833,152706.48611367928,71.83037210164215
1228,2025-03-13,1,113783.16346732792,150171.1539827975,75.76898788455877
1229,2025-03-14,1,97169.27820594919,131817.17938170125,73.71518542706592
1230,2025-03-15,1,110177.95792287972,195349.99175745322,56.40028798141788
1231,2025-03-16,1,123146.36068481079,250170.45738667456,49.224981227287884
1232,2025-03-17,1,213533.18479727206,308422.55903427844,69.23397090857408
1233,2025-03-18,1,167914.24248938548,236112.29386803613,71.11626410407636
1234,2025-03-19,1,164693.25020687675,246183.47290917468,66.89858107072753
1235,2025-03-20,1,115338.38553305571,184155.1568784959,62.63109189451319
1236,2025-03-21,1,137593.67448537788,280203.61478847783,49.104889167559676
1237,2025-03-22,1,78273.80664155792,152150.01425778435,51.44515235400529
1238,2025-03-23,1,67658.8250768715,160832.4857160041,42.06788496469709
1239,2025-03-24,1,95784.09890580794,159217.9413928323,60.15911150960276
1240,2025-03-25,1,48472.8022819142,153206.610174,31.63884523445993
1241,2025-03-26,1,52080.95644509328,140947.2588144672,36.95066997624189
1242,2025-03-27,1,101138.43758233372,144964.5804764059,69.767688941641
1243,2025-03-28,1,93013.80287259829,157839.55331701273,58.929337366904974
1244,2025-03-29,1,125304.32414418887,210377.4253889032,59.56167773826093
1245,2025-03-30,1,90244.85074437229,179454.54618800525,50.28841712921969
1246,2025-03-31,1,58573.47434041741,109963.191462115,53.26643721558172
1247,2025-04-01,2,112471.49570135132,200303.0455492,56.150666802380286
1248,2025-04-02,2,141152.77593426584,231851.34981675784,60.88072208586449
1249,2025-04-03,2,155198.2667798187,264469.11492134735,58.68294557796451
1250,2025-04-04,2,84761.70635271212,212603.90084561307,39.86836836745704
1251,2025-04-05,2,135743.16967099186,226322.3663359544,59.977797099158025
1252,2025-04-06,2,98680.12815373247,160034.12658916408,61.66192815052618
1253,2025-04-07,2,75535.84815412668,168081.64895098552,44.939973296046006
1254,2025-04-08,2,116415.58454591758,192979.49176991673,60.32536591230956
1255,2025-04-09,2,52780.57669444713,99682.00794286918,52.94895015025911
1256,2025-04-10,2,73833.42035246127,118239.13913359841,62.44414573167425
1257,2025-04-11,2,91884.66857310633,126622.57139438723,72.56578946490995
1258,2025-04-12,2,35565.553905086956,127989.96542755589,27.78776741307705
1259,2025-04-13,2,93467.41333682934,163491.0506881049,57.16974289628792
1260,2025-04-14,2,48167.33610446296,151043.995175,31.889606765668603
1261,2025-04-15,2,46363.26447449984,183806.08566675204,25.224009480599207
1262,2025-04-16,2,43314.572207391175,155048.10008933838,27.936216040334198
1263,2025-04-17,2,156119.4293097776,198977.7749628824,78.46073730541029
1264,2025-04-18,2,119328.31206180458,207470.314100702,57.515848751202526
1265,2025-04-19,2,54935.42146622536,116793.0788347182,47.03653847842148
1266,2025-04-20,2,39422.05785912089,77853.57034227891,50.63615924845064
1267,2025-04-21,2,114113.95494371878,149982.11621313627,76.08504122021719
1268,2025-04-22,2,213426.64968667016,346199.4501441688,61.64846581870431
1269,2025-04-23,2,233602.62116968058,269725.87087984,86.60742123388975
1270,2025-04-24,2,37095.405278606515,75874.9834108991,48.89016591636965
1271,2025-04-25,2,66466.59727553705,110271.44384679194,60.27543936749743
1272,2025-04-26,2,30434.31616952883,97799.14765081526,31.119203899600784
1273,2025-04-27,2,45605.792982177714,62617.10256620001,72.83280623526518
