day_idx,date,quarter,vfa_dp_revenue,oracle_revenue,capture_pct
1426,2025-02-25,1,422606.38134354004,558064.390648555,75.72717206564778
1427,2025-02-26,1,130251.53065136248,169673.44766352576,76.76600696513242
1428,2025-02-27,1,151965.6874893222,197769.1350588284,76.83994140143177
1429,2025-02-28,1,131829.06871547716,179112.46169740485,73.60128238212205
1430,2025-03-01,1,179893.25718500876,355185.34454033244,50.64771391900188
1431,2025-03-02,1,51840.890038178535,78018.01313491016,66.44733434640835
1432,2025-03-03,1,408067.3466518021,494099.04129046,82.58816806971227
1433,2025-03-04,1,403201.5261495748,850284.2304834571,47.41961707561262
1434,2025-03-05,1,114356.44629135847,173216.31556551007,66.01944275168992
1435,2025-03-06,1,423404.0019574154,869183.2220191068,48.71285952504361
1436,2025-03-07,1,99125.41018567659,112428.37207989037,88.16761138837728
1437,2025-03-08,1,154535.38345138612,198304.34994394725,77.9283881039761
1438,2025-03-09,1,28370.73731971329,262107.60289515107,10.824080265638928
1439,2025-03-10,1,144352.63459054285,279424.0545126775,51.66077589214624
1440,2025-03-11,1,6541.74042066617,219841.4835680421,2.975662424804128
1441,2025-03-12,1,362207.9935461284,521929.1988114265,69.39791725984551
1442,2025-03-13,1,331461.9591960472,515027.4174543284,64.35811919186625
1443,2025-03-14,1,120081.33180802359,406556.9715897514,29.536163489823338
1444,2025-03-15,1,111699.55044027194,197883.71565998305,56.44706542311017
1445,2025-03-16,1,16435.883185875406,163547.08986318397,10.049633533451996
1446,2025-03-17,1,65829.22205662484,216894.34269706637,30.350824847731367
1447,2025-03-18,1,349299.98310447985,391620.4604701237,89.19349685794253
1448,2025-03-19,1,154952.44111773587,462707.20074441674,33.488227732017975
1449,2025-03-20,1,54831.921636196894,245011.4395192896,22.37933124419687
1450,2025-03-21,1,43738.92093905344,180914.67085521386,24.17654728181648
1451,2025-03-22,1,1369.0274602845966,208470.4850192502,0.6567008563145907
1452,2025-03-23,1,38440.10196698218,174401.2102956122,22.041189910222375
1453,2025-03-24,1,99206.33793720882,266948.7099411839,37.16307074833465
1454,2025-03-25,1,407827.9604966965,606354.5768042856,67.2589893929888
1455,2025-03-26,1,56269.4527198735,195314.37351643105,28.809683438448918
1456,2025-03-27,1,108721.09662985138,162733.64991570267,66.80922887563192
1457,2025-03-28,1,353497.30667435436,571264.4676415465,61.879799409503036
1458,2025-03-29,1,498557.9054505555,605173.7424852836,82.38260691931445
1459,2025-03-30,1,489938.73578889004,719800.1847861062,68.06593637295035
1460,2025-03-31,1,68584.96757070518,166288.26658465,41.24462235331054
1461,2025-04-01,2,54928.725223609144,148825.75936518074,36.90807657082264
1462,2025-04-02,2,435317.81535822497,846321.3242898713,51.436470151982775
1463,2025-04-03,2,264202.61476710864,385220.99330966704,68.58468758340085
1464,2025-04-04,2,217491.42033830925,393178.36940827547,55.31622216797656
1465,2025-04-05,2,288132.4321083524,396682.0853730972,72.6356048666405
1466,2025-04-06,2,106215.79958502791,210441.26202688395,50.472896124077984
1467,2025-04-07,2,354805.08200145885,612126.8168528358,57.96267574514044
1468,2025-04-08,2,239823.69136583112,489114.2980615717,49.03223895034063
1469,2025-04-09,2,100100.61146933277,211705.32543527827,47.28299170723277
1470,2025-04-10,2,490472.0508643828,685364.8691016687,71.56364047478264
1471,2025-04-11,2,66975.68323006219,194918.62443313483,34.360843364681976
1472,2025-04-12,2,81526.00311182038,242588.1888680569,33.60674874247986
1473,2025-04-13,2,93891.05322684723,195923.08814658408,47.922403691697944
1474,2025-04-14,2,79749.19128098871,211426.5661139444,37.7195698472487
1475,2025-04-15,2,316579.7175966628,736455.128361158,42.98696626651936
1476,2025-04-16,2,31541.50724927163,200551.74342322172,15.727366270115139
1477,2025-04-17,2,278083.0849658796,366441.5225300673,75.88743847746193
1478,2025-04-18,2,77869.4466463413,157608.86153619323,49.4067693195407
1479,2025-04-19,2,106801.8600144408,206207.70213657749,51.7933418140234
1480,2025-04-20,2,75070.93532391693,159899.65872288393,46.94877770440995
1481,2025-04-21,2,111544.21777589123,200725.9094194164,55.57041345510599
1482,2025-04-22,2,73394.28935947506,176795.91714114617,41.5135657804135
1483,2025-04-23,2,73504.5231254538,210035.23384348647,34.99628218579161
1484,2025-04-24,2,421477.06920151785,591556.2402791472,71.24885860431947
1485,2025-04-25,2,479976.43562321074,618761.9628072024,77.57044945776099
1486,2025-04-26,2,67997.24947900916,194694.9077039623,34.92502720327971
1487,2025-04-27,2,157321.88443643303,217087.00104953686,72.46950931001803
1488,2025-04-28,2,58572.006760219236,173634.9666071466,33.732840743270245
1489,2025-04-29,2,80072.617159844,196685.87749060153,40.71091335150395
1490,2025-04-30,2,34417.89372366396,147966.36116693393,23.260620489838292
1491,2025-05-01,2,53305.42734053968,188097.94676388393,28.33918618338405
1492,2025-05-02,2,31096.421627911874,157135.15866488393,19.789601443830918
1493,2025-05-03,2,93415.08549595237,204967.691188221,45.57551727026562
1494,2025-05-04,2,33386.54574209971,181677.28614388395,18.3768408537644
1495,2025-05-05,2,41822.83424618952,184274.0886600426,22.69599299082479
1496,2025-05-06,2,305869.8263901128,573472.783226418,53.33641549111662
1497,2025-05-07,2,44568.472460442696,165852.6834624,26.872325204522056
1498,2025-05-08,2,293238.37844410667,843650.303307422,34.7582851916847
1499,2025-05-09,2,52917.60223257088,178874.61046356003,29.583629613746183
1500,2025-05-10,2,46830.15817879625,163454.38343865,28.650292022528234
1501,2025-05-11,2,72098.23640801306,178874.83857341626,40.30652772800212
1502,2025-05-12,2,205522.93086417203,354711.14202761673,57.94092897374242
1503,2025-05-13,2,276738.13735198055,667460.4326901056,41.461354680849965
1504,2025-05-14,2,288635.2186387393,541411.5098753548,53.31161480205503
1505,2025-05-15,2,38200.3791774639,169238.20600806808,22.57195941656506
1506,2025-05-16,2,-30208.492044922525,126161.47392689678,-23.9443081193127
1507,2025-05-17,2,427955.831974639,584842.5092621362,73.17454275246979
1508,2025-05-18,2,38956.911545135445,150828.8126784761,25.828560772523247
1509,2025-05-19,2,384477.2062018004,581420.2151906077,66.12725119572197
1510,2025-05-20,2,101844.28576602507,444386.01130417787,22.917977428482477
1511,2025-05-21,2,42506.79754316643,152419.71831432485,27.88799114266013
1512,2025-05-22,2,47169.29948833773,66934.89098615781,70.47042102166475
1513,2025-05-23,2,330118.6438219036,386064.39117002214,85.50870045834398
1514,2025-05-24,2,357540.04492836515,488652.56310199917,73.16856022583347
1515,2025-05-25,2,382663.6872984421,553698.3354787657,69.11049984782143
1516,2025-05-26,2,332299.2319984969,496058.7144266774,66.9878831546289
1517,2025-05-27,2,70718.64803048804,170898.25722612249,41.380555412520856
1518,2025-05-28,2,112056.32179178875,160126.00397118594,69.98009006204443
1519,2025-05-29,2,59681.524800501735,140329.73912952867,42.52949173190855
1520,2025-05-30,2,65699.48700834827,179975.59598786387,36.50466422835378
1521,2025-05-31,2,48989.42192382417,75528.91708337724,64.86180898071686
1522,2025-06-01,2,71534.77759337625,107546.54430164304,66.51518006263208
1523,2025-06-02,2,42351.059527155056,144886.04273653502,29.230599944100515
1524,2025-06-03,2,50517.681419437125,163547.55345130706,30.888680602903506
1525,2025-06-04,2,145737.22666969537,268615.12523448485,54.2550336815455
1526,2025-06-05,2,492230.313626238,728453.1543599522,67.57199288384317
1527,2025-06-06,2,340343.79093348794,671003.7340739915,50.72159418057102
1528,2025-06-07,2,86688.03911875408,160074.61607782127,54.15476934619675
1529,2025-06-08,2,580424.2005572467,730996.9489557062,79.40172683161455
1530,2025-06-09,2,77764.3310797175,159743.65698862166,48.680700408189956
1531,2025-06-10,2,103709.46112661538,206735.94756614312,50.16518043792774
1532,2025-06-11,2,38529.67438414883,143288.55975362452,26.889567771773358
1533,2025-06-12,2,60784.15879214082,154145.12291442754,39.433072965847046
1534,2025-06-13,2,275124.86323774006,536940.2793360649,51.23937872158451
1535,2025-06-14,2,50958.761260271946,136740.14432857977,37.266862274052144
1536,2025-06-15,2,-31625.893327711605,138429.04436889826,-22.846284514853732
1537,2025-06-16,2,272490.70257299463,304622.4446348546,89.4519453087655
1538,2025-06-17,2,29209.433741372406,176366.25743363393,16.561803922365264
1539,2025-06-18,2,55187.118932973535,103247.2324119718,53.45142687483256
1540,2025-06-19,2,217419.87069210495,374469.724697797,58.06073397991419
1541,2025-06-20,2,366515.1368306265,510497.4981675978,71.79567738259483
1542,2025-06-21,2,60970.19343594392,163327.03488542215,37.33012938042742
1543,2025-06-22,2,66007.06647793824,146676.30619626856,45.00186034792404
1544,2025-06-23,2,51896.987895254555,163220.43004260003,31.795644627152132
1545,2025-06-24,2,55207.50210636871,160292.5479499655,34.44171473498659
1546,2025-06-25,2,46157.4835693138,76857.14457742173,60.056204043356374
1547,2025-06-26,2,105699.37459233476,131805.47005180246,80.19346583324088
1548,2025-06-27,2,37047.05234274268,75699.75514851902,48.93946125725014
1549,2025-06-28,2,59244.06993207548,88749.13416422471,66.7545328638903
1550,2025-06-29,2,622258.358222106,699452.7120655223,88.96360647234361
1551,2025-06-30,2,29350.40733257299,68828.23066174764,42.64297810707044
1552,2025-07-01,3,55008.394630450086,95413.03781950001,57.65291189503219
1553,2025-07-02,3,36556.87471153999,69135.23760699999,52.87734009008249
1554,2025-07-03,3,-375.89332771160537,0.0,0.0
1555,2025-07-04,3,111499.83936193105,180573.55429819092,61.7476018541482
1556,2025-07-05,3,249018.55157267628,493269.2265573015,50.483293537418476
1557,2025-07-06,3,53357.42990213134,134037.6097688188,39.80780468568449
1558,2025-07-07,3,76957.05998040264,125111.76348118478,61.51065082858975
1559,2025-07-08,3,33136.84520118055,50667.77273447876,65.40024045428655
1560,2025-07-09,3,42558.527092667864,56442.11718739362,75.40207421945068
1561,2025-07-10,3,43224.160787034874,63955.250929271635,67.58500695249658
1562,2025-07-11,3,66735.18666175398,92322.5985413724,72.28477936726189
1563,2025-07-12,3,485378.411820976,752436.2739576763,64.50757740160172
1564,2025-07-13,3,549872.3851512027,707794.5333079826,77.68813677908652
1565,2025-07-14,3,330328.05532866874,570160.3914016688,57.935987892213646
1566,2025-07-15,3,140614.48848022768,194580.09420840247,72.26560818170042
1567,2025-07-16,3,480946.98158822814,721379.2685398022,66.67047454271162
1568,2025-07-17,3,402775.7628886687,645536.314371191,62.39397442435251
1569,2025-07-18,3,89474.70194351638,195477.60948565794,45.77235325260159
1570,2025-07-19,3,67954.87480607355,104860.21181121534,64.80520459792302
1571,2025-07-20,3,72765.96914827237,100502.19754485085,72.40236624258817
1572,2025-07-21,3,152261.49231622007,202264.9882435227,75.27822468854595
1573,2025-07-22,3,120976.03592776222,164660.38557589997,73.47003075733627
1574,2025-07-23,3,142237.9355608264,212451.42980225,66.95080174005965
1575,2025-07-24,3,37311.38991630441,87520.40238515104,42.631648049455
1576,2025-07-25,3,41493.97194251923,96272.97744785775,43.10033099889605
1577,2025-07-26,3,80612.75838259512,128998.73025700975,62.49112547231033
1578,2025-07-27,3,377942.5602945568,481736.12133776495,78.45427061708037
1579,2025-07-28,3,208873.40728029516,413553.983197626,50.506926729437474
1580,2025-07-29,3,279462.00402003375,479541.2939089191,58.2769424801846
1581,2025-07-30,3,137281.54603413725,201058.89661648398,68.2792695794005
1582,2025-07-31,3,51667.59528570043,109259.69656654367,47.288796243574346
1583,2025-08-01,3,103071.40257430167,172960.9917901045,59.59228234501753
1584,2025-08-02,3,208687.40165139243,611943.3972181198,34.1024027058843
1585,2025-08-03,3,347242.6809484473,665600.73531586,52.169816306417346
1586,2025-08-04,3,391320.27445456095,692690.107511392,56.492834271943934
1587,2025-08-05,3,81276.155798577,105653.43418566458,76.92713107247472
1588,2025-08-06,3,110300.45442665543,166285.94775371056,66.33179526993082
1589,2025-08-07,3,138170.38515323706,205274.75645975748,67.3099739764272
1590,2025-08-08,3,49915.29417127859,81873.02470979495,60.96671565293585
1591,2025-08-09,3,236404.89776779595,422597.9752626382,55.94084960318939
1592,2025-08-10,3,110500.17795412248,173736.5417338041,63.60215119478365
1593,2025-08-11,3,114872.33461696639,181454.46156841188,63.30642609945265
1594,2025-08-12,3,190233.1615089238,498647.17290602595,38.149852610269335
1595,2025-08-13,3,134210.82639751237,187314.61532288394,71.64994902622318
1596,2025-08-14,3,129740.01885997469,159635.72340664643,81.27254732919823
1597,2025-08-15,3,38487.03400899761,59864.610164000005,64.29012717791329
1598,2025-08-16,3,104255.21865750606,174979.76896438908,59.58129861214042
1599,2025-08-17,3,110157.93712254244,155636.89036736585,70.77880884315104
1600,2025-08-18,3,73674.99499762832,104675.4940772,70.38418652535017
1601,2025-08-19,3,258322.1573066512,557562.8806918112,46.33058732068588
1602,2025-08-20,3,80040.41714901866,133160.62931011265,60.10816978238787
1603,2025-08-21,3,117276.06310674819,178419.47619951513,65.73052763343271
1604,2025-08-22,3,248136.08344634762,387395.87761127856,64.0523293578598
1605,2025-08-23,3,76446.69750850636,104273.51648546437,73.31362754910347
1606,2025-08-24,3,108349.16450626965,132799.89224610518,81.58829248556665
1607,2025-08-25,3,259177.9736339707,383325.92588185007,67.61295183406284
1608,2025-08-26,3,-19416.9102290039,62798.32197842782,-30.91947303253406
1609,2025-08-27,3,61177.26441395593,131401.28253073726,46.55758546317492
1610,2025-08-28,3,42115.50953384631,63104.57845500001,66.7392296485729
1611,2025-08-29,3,68730.24949578161,87388.82895277556,78.64878190886739
1612,2025-08-30,3,84740.53166940444,135404.94656231804,62.58303985253886
1613,2025-08-31,3,160281.60561862972,190374.96359686414,84.19258635186937
1614,2025-09-01,3,112400.2041979593,173943.07437335298,64.61895916402081
1615,2025-09-02,3,127412.52915166438,169258.2043564878,75.27701811329098
1616,2025-09-03,3,103501.94714334562,133349.3436352904,77.61714030360943
1617,2025-09-04,3,34546.227905987136,57117.442200274054,60.482799255708585
1618,2025-09-05,3,48359.03394621901,69752.3686127543,69.32959397363963
1619,2025-09-06,3,236184.06998330978,307920.57507645444,76.7029192267087
1620,2025-09-07,3,266855.490002652,405761.5475915979,65.76657930909808
1621,2025-09-08,3,131388.32477731002,173082.14509222086,75.91096395720325
1622,2025-09-09,3,111816.0202438347,186973.30546990756,59.80320022840423
1623,2025-09-10,3,134282.79902747125,198316.51662777326,67.71135420833909
1624,2025-09-11,3,59286.93529612732,82542.32088942763,71.82610648366327
1625,2025-09-12,3,311253.8788733214,896821.1100874201,34.70635061690074
1626,2025-09-13,3,111484.55327437124,161674.79786447945,68.95604927109348
1627,2025-09-14,3,366645.14396462525,545102.2252559528,67.26172210954871
1628,2025-09-15,3,341110.69147116685,492598.6190025118,69.24718793607245
1629,2025-09-16,3,63839.89894500685,101429.49678313486,62.94017122208753
1630,2025-09-17,3,307249.38758723304,783082.9722068392,39.235866248165316
1631,2025-09-18,3,58983.20678617054,143279.03362917676,41.166669883345335
1632,2025-09-19,3,160214.03669245282,341809.77393473894,46.87228069816464
1633,2025-09-20,3,248811.97552446503,362912.8061350073,68.5597122279296
1634,2025-09-21,3,68955.82465979761,100708.45401475702,68.47074094662734
1635,2025-09-22,3,240484.22737817644,503574.94419387303,47.75539969788322
1636,2025-09-23,3,50637.38252888793,109325.74340259595,46.31789453506295
1637,2025-09-24,3,351822.26608740806,536770.4781088511,65.54426527460073
1638,2025-09-25,3,134208.06180756824,196575.97079734036,68.27287244885582
1639,2025-09-26,3,124809.09038580372,180767.2700560776,69.044075482849
1640,2025-09-27,3,74465.0425797449,287338.16957205,25.915471895241126
1641,2025-09-28,3,240952.53407342045,519117.16657680005,46.41582856184993
1642,2025-09-29,3,575040.8420225509,890258.9418284425,64.59253763197407
1643,2025-09-30,3,392156.57978899125,503791.27074238396,77.84108271886322
1644,2025-10-01,4,77102.60424660271,557660.8825789029,13.82607363278588
1645,2025-10-02,4,79886.9251889533,175237.7780842001,45.58773003305736
1646,2025-10-03,4,315166.98936490354,585656.0450575,53.81434922847254
1647,2025-10-04,4,220900.01626051226,681309.4376477596,32.42286163291322
1648,2025-10-05,4,167624.9242205987,521995.3826180155,32.11233849998686
1649,2025-10-06,4,78218.66958665542,112991.61430467927,69.22519876186615
1650,2025-10-07,4,239640.01509474858,478911.3547821229,50.038490986243374
1651,2025-10-08,4,27349.54279990724,155284.75582497392,17.61250977573982
1652,2025-10-09,4,84450.16326079899,118453.61453809905,71.29386772206661
1653,2025-10-10,4,161908.49212048063,541943.6175770045,29.875523369822716
1654,2025-10-11,4,127708.76581326027,491740.4438729409,25.970767181041243
1655,2025-10-12,4,94281.89877265733,535891.7989721522,17.59345803639677
1656,2025-10-13,4,268273.5171464551,443359.71918101405,60.50922209216867
1657,2025-10-14,4,183493.7926995973,221319.19946728373,82.9091163989693
1658,2025-10-15,4,214370.2796105049,558987.9259514468,38.34971555881601
1659,2025-10-16,4,54296.31415779065,114753.92626895751,47.31543043724033
1660,2025-10-17,4,382061.0953137873,765294.327726495,49.923419195958076
1661,2025-10-18,4,97194.67262892378,551791.0894973212,17.614396911966743
1662,2025-10-19,4,149274.21730178982,640265.7729402839,23.31441467131373
1663,2025-10-20,4,289847.5987572552,949175.8639876656,30.536764550623012
1664,2025-10-21,4,250565.536,975508.5221518676,25.68563270439495
