day_idx,date,quarter,rev_single_rt,rev_single_da,rev_shandong_twosettle,oracle_rt,capture_single_rt,rt_mean,da_mean,da_rt_spread_mean
1522,2025-01-01,1,47275.69097219626,73304.60052943818,73304.60052943818,71819.9033793225,65.82533357432403,294.08833333333337,300.79541666666665,6.707083333333332
1523,2025-01-02,1,23245.191567602615,30859.84837756782,30859.84837756782,82932.40794656001,28.029080721473026,309.4025,279.8616666666667,-29.540833333333342
1524,2025-01-03,1,45373.60251925424,36100.93244379656,36100.93244379656,70579.22315136413,64.28747794793101,295.1066666666666,287.5733333333333,-7.5333333333333385
1525,2025-01-04,1,-2856.977664764834,36957.25345555423,36957.25345555423,41466.12198067461,-6.889908022014539,348.77124999999995,314.5975,-34.17374999999999
1526,2025-01-05,1,-9272.160739593131,36888.88946002256,36888.88946002256,61690.05944210604,-15.030234730596636,253.04541666666668,295.40916666666664,42.363749999999996
1527,2025-01-06,1,116093.99915277283,75909.06233436725,75909.06233436725,161675.177968,71.80694068928196,200.77583333333328,302.85583333333335,102.08
1528,2025-01-07,1,110928.40847964257,88273.6181675674,88273.6181675674,154103.1152686177,71.98323556683644,206.54291666666666,252.32708333333335,45.78416666666667
1529,2025-01-08,1,94429.3272274546,90292.90119462463,90292.90119462463,146902.85628119067,64.28011654634197,175.03416666666666,208.36624999999995,33.33208333333332
1530,2025-01-09,1,130370.68154946,111656.47251289638,111656.47251289638,169856.97831515686,76.75320898948704,284.9066666666667,272.25,-12.656666666666672
1531,2025-01-10,1,69010.78120251755,88462.68302895025,88462.68302895025,97115.85107118794,71.0602650765334,349.2729166666666,310.0254166666667,-39.2475
1532,2025-01-11,1,30877.046435863384,35852.3859036023,35852.3859036023,49285.749655174455,62.649034765410406,305.1720833333333,305.45125,0.2791666666666674
1533,2025-01-12,1,49745.638578581515,69429.1673150918,69429.1673150918,101099.91370609857,49.2044322838831,312.39,290.59625,-21.79375
1534,2025-01-13,1,99981.52975358682,98946.05228366943,98946.05228366943,157019.50417576593,63.67459270643765,247.55208333333334,217.13416666666663,-30.41791666666666
1535,2025-01-14,1,33861.3274460722,39918.571965551804,39918.571965551804,101134.19052454966,33.481582509777034,237.26083333333338,191.25,-46.010833333333345
1536,2025-01-15,1,78013.37473346715,36284.39296724908,36284.39296724908,135297.41373704997,57.66065483342192,206.795,285.06,78.26499999999999
1537,2025-01-16,1,115303.07596295909,103161.55657205259,103161.55657205259,139298.16846445797,82.77429433135637,265.06749999999994,292.11083333333335,27.043333333333333
1538,2025-01-17,1,67267.30896443312,47204.982618048496,47204.982618048496,102418.07888697344,65.67913565208345,240.97541666666666,278.55625,37.580833333333345
1539,2025-01-18,1,109225.98999729166,68210.44156702678,68210.44156702678,129798.16757464825,84.15064098225784,213.63375,281.62083333333334,67.98708333333333
1540,2025-01-19,1,104299.55969760082,86961.24213569138,86961.24213569138,113085.33570350125,92.23084412205675,252.54458333333332,264.76416666666665,12.219583333333338
1541,2025-01-20,1,71078.78437868209,82934.7478506142,82934.7478506142,114967.8876533231,61.824902439727126,237.9275,266.86291666666665,28.935416666666672
1542,2025-01-21,1,55000.57250111858,105118.15744591483,105118.15744591483,93102.15232699952,59.07551128135249,320.3108333333334,288.89958333333334,-31.41125
