day_idx,date,quarter,revenue,oracle_rev,capture,init_soc,final_soc
1522,2025-01-01,1,49849.823204391156,71819.9033793225,69.40948241200684,0.5,0.0530065010013705
1523,2025-01-02,1,25595.840967552547,82932.40794656001,30.86349667315339,0.5,0.05337875250342598
1524,2025-01-03,1,51010.77884899093,70579.22315136413,72.27449746732584,0.5,0.05090050200274088
1525,2025-01-04,1,-2939.621172126282,41466.12198067461,-7.089211702739649,0.5,0.051663002002740877
1526,2025-01-05,1,-6738.997719547174,61690.05944210604,-10.923960489730906,0.5,0.9475907505006853
1527,2025-01-06,1,119535.64560402604,161675.177968,73.9356820919569,0.5,0.05356025350479665
1528,2025-01-07,1,117883.11828559534,154103.1152686177,76.49625906660799,0.5,0.05497275350479677
1529,2025-01-08,1,97266.01650365235,146902.85628119067,66.21111322537723,0.5,0.050181501001371004
1530,2025-01-09,1,135814.23811676,169856.97831515686,79.9579972892058,0.5,0.05038850400548134
1531,2025-01-10,1,83314.36650516865,97115.85107118794,85.78863860658286,0.5,0.050831501001370356
1532,2025-01-11,1,29244.756558787707,49285.749655174455,59.33714463794776,0.5,0.050484751502056
1533,2025-01-12,1,70771.05626769927,101099.91370609857,70.00110452461267,0.5,0.05272875250342579
1534,2025-01-13,1,106305.19008858268,157019.50417576593,67.70190152274701,0.5,0.05335150600822258
1535,2025-01-14,1,45423.59740520048,101134.19052454966,44.91418497503493,0.5,0.9465940010013705
1536,2025-01-15,1,64348.14555821756,135297.41373704997,47.56051411542718,0.5,0.832216754506167
1537,2025-01-16,1,112855.22180555337,139298.16846445797,81.01701770353749,0.5,0.050250502002741
1538,2025-01-17,1,75492.60454999916,102418.07888697344,73.71023296903597,0.5,0.05173200300411118
1539,2025-01-18,1,113207.76063855864,129798.16757464825,87.21830419790149,0.5,0.05356025350479679
1540,2025-01-19,1,93776.90883692948,113085.33570350125,82.92579073453291,0.5,0.05025050200274106
1541,2025-01-20,1,65272.29726676778,114967.8876533231,56.77437291323593,0.5,0.06383800200274103
1542,2025-01-21,1,54124.16744992832,93102.15232699952,58.13417423458681,0.5,0.05407225150205597
1543,2025-01-22,1,87341.38486076496,111047.30604208293,78.6524121779827,0.5,0.0505972515020561
1544,2025-01-23,1,22489.39390713333,38987.45437721001,57.683668416882924,0.5,0.05435000000000034
1545,2025-01-24,1,17233.171628591757,31677.093,54.40262977600804,0.5,0.05472225150205545
1546,2025-01-25,1,74047.6363808851,129168.70326796235,57.32629848212706,0.5,0.05441900100137054
1547,2025-01-26,1,6201.154544346582,60169.47353600001,10.306147253617514,0.5,0.9461782505006854
1548,2025-01-27,1,69712.86426444018,98298.95415,70.91923293310052,0.5,0.054419001001370704
1549,2025-01-28,1,134182.94004100622,238994.92682150996,56.1446813225533,0.5,0.052520005006852374
1550,2025-01-29,1,129496.47423205386,163177.80053254074,79.35912471514764,0.5,0.050735253504796574
1551,2025-01-30,1,103721.27784412945,129851.85426064002,79.87662435373392,0.5,0.05159400100137075
1552,2025-01-31,1,39285.71597544588,47796.429434280006,82.19383004218685,0.5,0.05013800200274085
1553,2025-02-01,1,25125.69623868336,36110.91889774429,69.57922148099328,0.5,0.05
1554,2025-02-02,1,22729.770682699793,38855.97694633921,58.49748859510085,0.5,0.05006900100137035
1555,2025-02-03,1,85405.34913523254,137545.61086455,62.09238419053348,0.5,0.05224400100137062
1556,2025-02-04,1,129940.01715289122,145941.81225586278,89.03549650670537,0.5,0.05138525350479646
1557,2025-02-05,1,118628.14009015338,242595.73714194,48.899515501686416,0.5,0.051107505006852
1558,2025-02-06,1,133204.45720434794,275575.91071734,48.33675659734156,0.5,0.9498765060082228
1559,2025-02-07,1,160277.1626139396,188026.93958052993,85.2415951520046,0.5,0.05427925450616711
1560,2025-02-08,1,137249.70541636625,150602.10446686455,91.13398906491636,0.5,0.051038504005481426
1561,2025-02-09,1,114015.9955536237,125460.61145200001,90.87792115316216,0.5,0.0505282505006856
1562,2025-02-10,1,83455.37931798735,153159.22050105414,54.48929489518586,0.5,0.4841140060082224
1563,2025-02-11,1,57305.36117618498,121442.50184954738,47.187237007995286,0.5,0.05265975150205587
1564,2025-02-12,1,98996.72207765152,157150.61517041724,62.99480404215886,0.5,0.05314450300411147
1565,2025-02-13,1,80391.84408754326,158731.83851048723,50.64632580453093,0.5,0.054626004005481954
1566,2025-02-14,1,116209.41861831432,156427.30897237538,74.2897256123204,0.5,0.054903752503425995
1567,2025-02-15,1,122290.59822881903,138272.47179059385,88.44175318860394,0.5,0.050388504005481935
1568,2025-02-16,1,73638.4763889318,181936.72239668347,40.47477354702206,0.5,0.0509695030041115
1569,2025-02-17,1,121460.85665596004,161249.30141500774,75.32488859803239,0.5,0.05221675450616692
1570,2025-02-18,1,52180.913145447776,56861.91618265206,91.76777120530384,0.5,0.05335325050068551
1571,2025-02-19,1,109730.97002529449,115759.2095091462,94.79243205839668,0.5,0.05059725150205574
1572,2025-02-20,1,36590.188864387055,44022.587015641184,83.11685283599212,0.5,0.054488002002741065
1573,2025-02-21,1,36734.30011644219,80274.36196110016,45.76093689071377,0.5,0.05083150100137068
1574,2025-02-22,1,26105.34922917919,64898.802478736165,40.22470096845394,0.5,0.05324075050068511
1575,2025-02-23,1,124272.8926081869,148732.82906400002,83.5544468496004,0.5,0.0510385040054816
1576,2025-02-24,1,67558.14926342595,137869.42880146002,49.00154432402386,0.5,0.7127722515020563
1577,2025-02-25,1,167348.87528868357,206910.47437049123,80.87984709224088,0.5,0.05328250500685215
1578,2025-02-26,1,58376.34048593844,123078.40703146455,47.43020477264931,0.5,0.9465940010013705
1579,2025-02-27,1,132837.0364093021,178819.6435166647,74.28548329307156,0.5,0.05025050200274109
1580,2025-02-28,1,102210.81880868525,143921.2250387395,71.0185858834741,0.5,0.051247251502055585
1581,2025-03-01,1,19606.464385033934,46552.23843096158,42.11712485987314,0.5,0.05400325050068544
1582,2025-03-02,1,69576.98844296797,141791.49421735507,49.069931047000594,0.5,0.8493227535047968
1583,2025-03-03,1,91999.32013236397,178418.91422289336,51.56365878195627,0.5,0.05124725150205551
1584,2025-03-04,1,56133.91495352545,163611.71300903973,34.309227573715326,0.5,0.052313002002740805
1585,2025-03-05,1,91725.21775246462,104384.3929446894,87.87254029543233,0.5,0.05383800200274136
1586,2025-03-06,1,98794.65757316106,113619.34896579236,86.95231795678163,0.5,0.053838002002741026
1587,2025-03-07,1,28895.880103874457,54368.312912075475,53.14838470453355,0.5,0.050207003004111406
1588,2025-03-08,1,126139.04449382017,147647.11239078,85.43278798434332,0.5,0.052797753504796444
1589,2025-03-09,1,44770.14220938526,115377.90501963001,38.8030465640438,0.5,0.9451125000000002
1590,2025-03-10,1,94176.9445336998,124303.63088019998,75.7636312526258,0.5,0.05286675450616696
1591,2025-03-11,1,114255.83083694108,159176.48307212628,71.77934116383845,0.5,0.05031950300411116
1592,2025-03-12,1,131200.50342168548,156835.1511937,83.65503678422554,0.5,0.053560253504796526
1593,2025-03-13,1,111816.72965642036,127026.93981879923,88.02599654524003,0.5,0.05335325050068529
1594,2025-03-14,1,108094.03857581955,147944.0646983083,73.06412649689459,0.5,0.052078752503426085
1595,2025-03-15,1,83660.0925353821,136321.72624275667,61.369595911955585,0.5,0.05200975150205556
1596,2025-03-16,1,115280.29847514283,195646.2760909133,58.92281763726193,0.5,0.05173200300411164
1597,2025-03-17,1,87462.142651891,128055.20060881159,68.30034409853766,0.5,0.05066625250342616
1598,2025-03-18,1,140230.64135952885,160958.35967787835,87.12231016777797,0.5,0.05180100400548192
1599,2025-03-19,1,102181.07882621375,141978.0765518,71.96961763947652,0.5,0.180388504005482
1600,2025-03-20,1,137355.75765055866,175663.45621918948,78.19256241842855,0.5,0.30235475650890786
1601,2025-03-21,1,146847.24084159482,208075.133157,70.57414243286506,0.5,0.30283950801096343
1602,2025-03-22,1,93233.54507598926,160642.09003236346,58.03805531738671,0.5,0.05059725150205607
1603,2025-03-23,1,84021.50970453778,156758.71427750002,53.59925927677603,0.5,0.05115100400548189
1604,2025-03-24,1,110735.42663385686,172889.27547218918,64.0499107486107,0.5,0.05321350400548187
1605,2025-03-25,1,112472.17224769053,216087.16726339998,52.04944544929514,0.5,0.05335150600822253
1606,2025-03-26,1,108888.3163434911,212493.74673280018,51.243068569171825,0.5,0.05469500500685219
1607,2025-03-27,1,74394.85944885528,140146.91050997569,53.083481596663404,0.5,0.05293575550753715
1608,2025-03-28,1,108452.50037696531,132176.02711,82.05156619415456,0.5,0.054834751502055724
1609,2025-03-29,1,113490.83322016761,134985.35207599995,84.07640642094972,0.5,0.05349125250342618
1610,2025-03-30,1,110204.37652650152,137090.48193600003,80.38805828835723,0.5,0.053491252503426366
1611,2025-03-31,1,88463.9199423021,124707.61380120002,70.93706410205634,0.5,0.05490375250342627
1612,2025-04-01,2,144995.154591579,177102.09920359086,81.870940685405,0.5,0.05193900600822246
1613,2025-04-02,2,137306.87940723094,163822.9764334,83.81417698331904,0.5,0.051454254506166905
1614,2025-04-03,2,118522.26465424897,127951.5406398,92.63058815985994,0.5,0.05059725150205574
1615,2025-04-04,2,122610.37871695898,167527.35521857502,73.1882733760034,0.5,0.05462600400548165
1616,2025-04-05,2,138280.97924033942,157841.619698,87.60742540840234,0.5,0.05038850400548168
1617,2025-04-06,2,118773.86543327606,147861.2895530387,80.32789771569739,0.5,0.05321350400548158
1618,2025-04-07,2,136851.96534462314,177830.46884273677,76.95642160492041,0.5,0.054348255507537316
1619,2025-04-08,2,132499.73162568358,146522.53331,90.42959375084774,0.5,0.053422251502055706
1620,2025-04-09,2,119024.99847306628,133082.743517025,89.43683856189789,0.5,0.05300650100137033
1621,2025-04-10,2,107041.65103680931,131758.15320574847,81.24100743098394,0.5,0.054834751502055745
1622,2025-04-11,2,128643.21166618424,137894.31806916033,93.29116200543068,0.5,0.05059725150205577
1623,2025-04-12,2,35683.452479097716,79997.84965715,44.60551456323854,0.5,0.9483532505006854
1624,2025-04-13,2,101519.41401261304,137884.90231369997,73.6262000473755,0.5,0.05407225150205569
1625,2025-04-14,2,88901.64575016234,196938.29483151558,45.14187848849782,0.5,0.05203525350479642
1626,2025-04-15,2,117492.9371671308,133673.6929558,87.89533270841895,0.5,0.05131625250342603
1627,2025-04-16,2,150762.1617054928,162164.7882609717,92.96849416093421,0.5,0.050041754506167005
1628,2025-04-17,2,150678.4540301718,162366.5495544,92.80141411127778,0.5,0.05455700300411116
1629,2025-04-18,2,97351.67260342048,143196.49639162823,67.98467494426211,0.5,0.054045005006852
1630,2025-04-19,2,124331.68592562033,135291.8781997938,91.89885422538973,0.5,0.05476575050068533
1631,2025-04-20,2,122183.53229915567,134110.1645065,91.1068394769091,0.5,0.05018150100137053
1632,2025-04-21,2,118853.30423341414,249405.54914848457,47.65463504689479,0.5,0.0508042545061671
1633,2025-04-22,2,91795.72914127754,154243.6802084628,59.5134458781158,0.5,0.05214775350479672
1634,2025-04-23,2,112854.1146458965,132634.88233,85.08630057446857,0.5,0.05159400100137068
1635,2025-04-24,2,90053.797365614,209183.93356200002,43.05005448180032,0.5,0.05131625250342631
1636,2025-04-25,2,130904.56092044059,147539.27953600002,88.72522716128589,0.5,0.054834751502055745
1637,2025-04-26,2,93366.44723030672,125543.2913484,74.36992150476756,0.5,0.05031950300411142
1638,2025-04-27,2,123534.61752113735,150790.9303451025,81.92443487046208,0.5,0.05166300200274099
1639,2025-04-28,2,136408.43774259303,152484.34646925,89.457338343973,0.5,0.05279775350479643
1640,2025-04-29,2,98518.03076865921,131505.64766020724,74.9154371097555,0.5,0.05376900100137083
1641,2025-04-30,2,83165.29431340571,162254.1346569736,51.25619417294234,0.5,0.05490375250342605
1642,2025-05-01,2,143058.38224630652,208789.19649002503,68.51809607550321,0.5,0.05462600400548154
1643,2025-05-02,2,109376.28659916097,146826.28947374597,74.493666625498,0.5,0.052078752503426085
1644,2025-05-03,2,115208.55454347529,153362.689878,75.12163136622321,0.5,0.051801004005481606
1645,2025-05-04,2,122524.11953211657,145800.176878,84.03564533027972,0.5,0.0549037525034262
1646,2025-05-05,2,141638.55468193843,147260.98121,96.18199846159943,0.5,0.051316252503426016
1647,2025-05-06,2,129862.11325078951,148741.98954501987,87.30696264586673,0.5,0.054903752503426204
1648,2025-05-07,2,74139.60718502055,124961.237414,59.330084047898794,0.5,0.050553752503426086
1649,2025-05-08,2,36365.427482920844,97138.33573307373,37.436741332329746,0.5,0.05349125250342637
1650,2025-05-09,2,24673.55291457573,68593.48441596048,35.97069477466964,0.5,0.0506227535047965
1651,2025-05-10,2,119197.9456081912,147155.899703625,81.00113270909173,0.5,0.05432275350479677
1652,2025-05-11,2,94728.45792924108,130865.3345894,72.38621154063364,0.5,0.053838002002740915
1653,2025-05-12,2,76610.33408294931,110346.98621466562,69.42675709684896,0.5,0.05025050200274095
1654,2025-05-13,2,70373.18928339833,145947.13471462906,48.21827398050621,0.5,0.05483475150205597
1655,2025-05-14,2,127995.27581444397,179884.70110745096,71.15406425696438,0.5,0.05427925450616676
1656,2025-05-15,2,133390.89187193845,138782.098152,96.11534459281856,0.5,0.05307550200274083
1657,2025-05-16,2,131344.42191781173,146127.49062994999,89.8834444850801,0.5,0.054557003004111274
1658,2025-05-17,2,95907.5951049552,145788.27592,65.7855335072236,0.5,0.05272875250342602
