date,rev_ensemble,rev_lgbm,rev_oracle,ens_vs_lgbm_pct,oracle_capture_pct
2026-03-11,259393.71909826028,146959.64988711372,290567.1758720698,76.50676175229881,89.27151469182655
2026-03-12,116689.05780752609,107909.05902822921,312776.860811454,8.136479789894203,37.30744579531661
2026-03-13,138290.95680752606,138290.9568075261,383576.51371722313,-2.1045360541716787e-14,36.05303032434246
2026-03-14,34447.48140513468,-35510.58238058469,68249.34566246065,197.00624178996495,50.472984130134904
2026-03-15,68231.08405659873,68590.66189973838,296023.7798568643,-0.524237313331741,23.04919020005432
2026-03-16,-31328.579775213704,-84000.04847294962,352171.85883509717,62.70409321811,-8.895821454570896
2026-03-17,197036.44183160324,162551.0806473579,303450.10439114895,21.21509192489385,64.93207251549406
2026-03-18,12814.131978801524,19434.718057909806,274775.11291390745,-34.06576858681902,4.663498030411673
2026-03-19,103699.3764574691,100979.434791206,270597.0118305938,2.69356000247683,38.322439614517876
2026-03-20,233413.91671334766,233174.69961365045,267883.202761559,0.10259136179592981,87.13271840381414
2026-03-21,200855.39414963772,148127.67421375314,222395.6732818843,35.59613030836948,90.31443426287143
2026-03-22,196869.29992361373,196445.6730166313,233030.54665119425,0.2156458324976975,84.48218602786545
2026-03-23,-17381.304717524094,8687.147159026812,267647.48314315965,-300.0806985232567,-6.494103554946248
2026-03-24,57834.35079562347,37251.571296535534,326125.8196332906,55.253453163738556,17.733754064813027
2026-03-25,205798.87391448932,205798.87391448932,243140.8469687095,0.0,84.6418347555457
2026-03-26,270893.7605661931,254864.52372305345,293226.53610160295,6.289316617701441,92.38378087047636
2026-03-27,294400.11265341233,192783.42861832638,349770.2675371875,52.71027948998002,84.1695649908584
2026-03-28,33697.012885621516,24319.803015147172,227871.2507667871,38.5579186831156,14.787742100958774
2026-03-29,140755.86613803986,136347.037358743,307860.5857375372,3.233534710179865,45.72065170370317
2026-03-30,180950.51218402543,170520.38714673647,197511.72627207515,6.116644004750949,91.61507298800254
2026-03-31,55290.96636129482,57188.47130374343,107535.52216562068,-3.317985074947089,51.41646708716262
2026-04-01,118305.02776626631,118305.02776626631,303306.132448083,0.0,39.00515522432327
2026-04-02,276102.32374719286,173782.3210006108,321593.1903120045,58.87825767168942,85.85453052638424
2026-04-03,232428.45261874434,346510.7038094813,368751.27384684165,-32.923153581270526,63.03122703659647
2026-04-04,208126.3319118681,206158.09629992148,216910.18107113335,0.95472147214786,95.95046709384992
2026-04-05,201751.85341303583,201296.47111301014,218659.82521810938,0.22622468119177278,92.26745389181202
2026-04-06,211293.90635403487,211586.97096438642,264819.69311459374,-0.1385078717351051,79.78783747876447
2026-04-07,208468.2629239201,209357.45278768966,214720.52369356988,-0.42472329116045454,97.08818669864439
2026-04-08,126793.74241787769,137011.3779054393,321105.45636962797,-7.457508743991672,39.48663590192128
2026-04-09,46713.20159608671,46713.20159608668,62005.13564227295,6.230322363340609e-14,75.33763310444121
