day_idx,variant,status,formulation,objective,actual_revenue,revenue_dam,revenue_dev,p_dam_mean,p_dam_std,p_dam_abs_max,K_used,solve_time,scenario_method
1894,A1_bootstrap_uniform,optimal,two_stage,160363.82048818684,144851.0017714622,142708.7849296199,4307.624738746399,9.217864617657906,81.747478778469,200.0,200,88.6344347000122,bootstrap
1894,A2_regime_profile,optimal,two_stage,165250.9115889766,107079.06500025783,109927.08365224754,-387.69338945557774,5.868530151842031,91.42641375279821,200.0,4,0.27950406074523926,regime_profile
1894,A3_bootstrap_weighted,optimal,two_stage,180434.66877048195,143623.03840561805,145532.601360148,841.7947484849988,6.1012096767717265,92.79978348071447,200.0,200,91.92114424705505,bootstrap_weighted
1894,A4_regime_mean_K,optimal,two_stage,163383.4254787566,120345.48198645994,120766.02290606803,2457.2463303292852,6.760091509704314,99.7052433078759,200.0,200,88.73753595352173,regime_mean_K
1894,A5_bootstrap_RT_only,optimal,rt_only,171233.60533023792,123188.59115243744,0.0,125942.9479047524,0.3095958267717334,105.61892629893252,200.0,200,0.0410771369934082,bootstrap
1894,A6_profile_RT_only,optimal,rt_only,166017.03881871817,117912.27197883146,0.0,120666.62873114641,0.3095958267717324,105.61892629893252,200.0,4,0.02829599380493164,regime_profile
1895,A1_bootstrap_uniform,optimal,two_stage,183630.713698696,89014.35348394657,107530.36691129868,-15372.216732320001,1.8763775368311089,100.27457645368898,200.0,200,78.8318829536438,bootstrap
1895,A2_regime_profile,optimal,two_stage,175152.39211155457,91932.89534619176,102210.18509252425,-6808.508048540207,-0.43794486314604697,114.44939550797912,200.0,1,0.05536484718322754,regime_profile
1895,A3_bootstrap_weighted,optimal,two_stage,190152.39723687342,105153.74878919151,120624.18535395327,-12291.886447550114,-0.27133101314604985,100.24752181561584,195.99492960000046,200,77.85847401618958,bootstrap_weighted
1895,A4_regime_mean_K,optimal,two_stage,173894.9600227517,91932.89534619178,102210.18509252428,-6808.508048540207,-0.4379448631460529,114.44939550797913,200.0,200,78.28393006324768,regime_mean_K
1895,A5_bootstrap_RT_only,optimal,rt_only,187964.6442546546,65571.1995892906,0.0,69007.54094272161,-0.4379448631460514,117.71837549566337,200.0,200,0.03670907020568848,bootstrap
1895,A6_profile_RT_only,optimal,rt_only,180085.16467309068,62645.195583809415,0.0,66081.53693724042,-0.4379448631460507,117.71837549566337,200.0,1,0.037821054458618164,regime_profile
1896,A1_bootstrap_uniform,optimal,two_stage,163247.56444089537,144704.91730308943,152505.22221011674,-4709.123714579728,-2.358817056082979,98.49820626470144,200.0,200,106.43690800666809,bootstrap
1896,A2_regime_profile,optimal,two_stage,148968.82700040878,148115.22885045086,157648.69475525306,-6451.289511059728,2.7136668283202483,97.98857728074441,180.0,5,0.3964848518371582,regime_profile
1896,A3_bootstrap_weighted,optimal,two_stage,155758.61399887237,132104.321055922,133102.05835057693,1752.620725260003,-0.023631873228261806,88.73658632504083,180.00000000000017,200,107.74945306777954,bootstrap_weighted
1896,A4_regime_mean_K,optimal,two_stage,148766.21064774197,148700.97668556782,157864.56032576846,-6133.58618316003,2.7136668283202403,95.94002609355634,180.0,200,91.51053380966187,regime_mean_K
1896,A5_bootstrap_RT_only,optimal,rt_only,156983.31071719906,104416.861074682,0.0,107171.21782699696,0.30959582677172887,105.61892629893254,200.0,200,0.028914928436279297,bootstrap
1896,A6_profile_RT_only,optimal,rt_only,160232.47484689098,122612.651103142,0.0,125367.00785545695,0.30959582677172887,105.61892629893254,200.0,5,0.022431135177612305,regime_profile
1897,A1_bootstrap_uniform,optimal,two_stage,151975.95170929754,142713.4903071727,142550.82887254027,3061.8397540636906,-1.2591734495764761,92.10472008631417,180.0,200,103.70121383666992,bootstrap
