day_idx,capture,dp_revenue,oracle_revenue,actual_rt_mean,actual_rt_std,actual_rt_range,rt_gap_mean,rt_gap_std,rt_gap_max_abs,soc_hit_min_steps,soc_hit_max_steps,regime_top1,regime_top1_prob
1723,-78.8826955525828,-77387.98762379466,98105.15104952038,259.471875,145.20379622499902,404.2,-56.866361399837636,265.62382639638435,543.4002345312293,16,25,11,0.3618986288145133
1726,-56.88061462578804,-48327.92490042375,84963.78813479497,132.85208333333333,160.03792452830172,413.9,-248.5313549945848,234.84281271093766,523.6670152530353,0,0,1,0.8449026582163174
1873,-30.365833031293004,-49253.84051860441,162201.51269305433,69.38333333333334,153.2993060069817,378.5,-301.58997125345644,201.44679750027547,523.1335165429889,0,0,6,0.5401149367327042
1709,-4.64396635946243,-6983.199632545598,150371.45172933486,355.2437500000001,74.6059437038196,262.0,26.728574296308967,162.2082570252868,320.0210412263849,26,17,7,0.6897153927146241
1717,-3.4605411645287263,-5978.343300885426,172757.4681718773,316.5229166666667,102.20770465817661,333.8,5.201297797850042,129.24191019008418,308.0907954739817,0,0,11,0.4446719207844433
1724,0.0,-568.1596313270793,0.0,0.0,0.0,0.0,-315.0768205521731,113.90559734271395,466.2720684318577,0,0,5,0.7276206890925655
1840,1.4565130702437938,1392.0651103235978,95575.18835657214,351.425,63.02289431891662,219.9,17.820202438223475,158.7323163078675,320.73904778059955,24,0,3,0.9461523492909923
1937,1.5513239173622995,5895.812475362072,380050.38208826585,21.76666666666667,134.70144662260398,365.8,-287.09252159322745,128.24769111305338,510.8207903005612,0,0,11,0.37973046926394
1772,6.344740542392499,16763.253344922523,264207.0740784204,398.059375,164.58191892522512,699.8,62.78433299981844,294.0221678887165,943.024447278078,24,0,9,0.6570468182916714
1892,9.91073586295142,10118.09266686202,102092.24427709497,350.2291666666667,79.01987871819905,452.9,38.235865625173254,154.15246964055422,347.5233926666294,0,0,5,0.9568232254801213
