strategy,total_revenue,naive_revenue,da_revenue,rt_revenue,penalty,clear_ratio,n_days,gain_pct
Heuristic,15124699.19860969,13923545.288464356,12397686.995611677,3392861.077636951,665848.8746389383,0.7129044015373646,90,8.626782082150356
DFL-indep,14928504.20973716,13923545.288464356,13912243.595498594,1467430.0040465174,451169.3898079463,0.8771585412664072,90,7.217694203971243
DFL-joint,15200453.788675675,13923545.288464356,11947467.293107213,4111650.3347300845,858663.8391616268,0.6159965785637456,90,9.170857520528457
