variant,revenue,clear_ratio,da_revenue,rt_revenue
full,16232644.37685068,0.34175762412874755,7139480.664967501,9093163.711883176
no_copula,16106260.710993178,0.48227384949735574,8565689.736095002,7540570.974898178
no_supply_curve,15974508.930658177,0.24526778564294174,5342514.971767502,10631993.958890675
both_off,15807072.554368177,0.36764191592023265,6775707.454665001,9031365.099703178
