seed,strategy,revenue,clear,n_days
42,naive,41097296.29745808,0.9908274589968258,225
42,optimal,44198525.13470222,0.2723543506980603,225
42,regime_aware,43522194.5370972,0.5727223581465021,225
43,naive,41086680.70669858,0.9904821966168719,225
43,optimal,44230359.137364686,0.2756805646266778,225
43,regime_aware,43455642.85421471,0.5724750326260205,225
