checkpoint,day,date,naive_rev,daily_rev,naive_da,naive_rt,daily_da,daily_rt,daily_segments,compliant,da_mean,rt_mean,forecast_total_mwh,actual_total_mwh
180,180,2022-10-28,177011.34522133722,236611.22939779802,194303.63665466837,-17292.29143333115,106586.52514810432,130024.70424969368,3,True,381.18687500000004,402.77401041666667,599.5358687013324,588.1569267051316
180,181,2022-10-29,129157.95840703358,174991.50051296255,248457.24645335137,-119299.28804631779,158889.01075705566,16102.489755906885,3,True,445.32593749999995,497.6838020833334,608.7936310615884,388.045991467999
180,182,2022-10-30,153686.4132756485,186607.9119486544,220586.4150836505,-66900.00180800201,103109.88183892964,83498.03010972474,3,True,412.37614583333334,465.0291145833333,605.9628956503175,491.11410276462925
180,183,2022-10-31,193437.66296796562,242845.09992362504,147555.05220223943,45882.61076572619,6879.9625,235965.13742362504,3,True,281.28234375,370.56104166666665,610.2415145882558,775.1714730716187
180,184,2022-11-01,222665.03834243273,205912.73275352584,184295.04297484085,38369.99536759187,80951.80007969173,124960.9326738341,3,True,344.1738020833334,240.89333333333332,651.0730182853767,830.6474782580606
180,185,2022-11-02,139049.08178261947,146519.72960149086,231481.06276589492,-92431.98098327547,215473.329976034,-68953.60037454314,3,True,406.02489583333335,374.5219270833333,655.9409835867066,452.1827611887393
180,186,2022-11-03,146149.92412282815,142487.11542709311,219146.41803555482,-72996.49391272667,111570.41211904696,30916.703308046166,3,True,422.1497395833333,428.39375,599.0945604925824,512.3675383868805
180,187,2022-11-04,199687.62802841474,199036.24629909525,128060.64631844046,71626.9817099743,3375.0,195661.24629909525,3,True,236.04234375,227.76031250000003,589.7514018297892,893.2771945312295
180,188,2022-11-05,267859.91319684073,212527.39176244894,258688.92009792867,9170.993098912082,172575.67473052128,39951.71703192768,3,True,443.6247916666667,297.47130208333334,608.5088733708797,700.3799443223018
180,189,2022-11-06,176182.86336790994,177065.8041590828,193637.32461285556,-17454.461244945625,177578.43903194525,-512.6348728624453,3,True,352.28843750000004,256.52046875,664.7508461675843,679.6749927294156
180,190,2022-11-07,165283.70606182129,113770.81751875379,170196.08099243103,-4912.374930609747,46686.408092449914,67084.40942630387,3,True,283.44567708333335,195.18067708333334,691.3029677931963,877.6895999989993
180,191,2022-11-08,162832.90467928196,142541.9586719536,275406.6283216762,-112573.72364239427,189546.74654141773,-47004.78786946414,3,True,431.37484375,426.6674479166666,718.317327175811,500.5839623429164
180,192,2022-11-09,197514.29289253324,232260.07139427832,157406.12624946405,40108.166643069184,109824.03857842629,122436.03281585204,3,True,293.58739583333335,262.40880208333334,660.3592321174879,1013.6404984353785
180,193,2022-11-10,183935.44469063188,205971.25361622605,215900.47133258433,-31965.026641952467,194967.17900272278,11004.074613503271,3,True,320.45453125,336.67151041666665,748.5582969153136,741.5740504694443
180,194,2022-11-11,178512.8809081437,224014.36741693018,209368.76628661377,-30855.88537847007,59691.99685074473,164322.37056618545,3,True,318.95994791666664,363.7355729166666,775.2046607499202,765.4508359242277
180,195,2022-11-12,151787.34773844923,175269.81543631048,315966.9552267038,-164179.60748825455,199223.41169670178,-23953.596260391285,3,True,458.84671875,509.71593750000005,775.4171160247511,448.475674926054
180,196,2022-11-13,136897.6583965075,156799.17772363874,277132.9249239726,-140235.26652746508,158739.20608630392,-1940.0283626651844,3,True,433.71750000000003,493.1893229166667,719.3377330778824,448.0253443179404
180,197,2022-11-14,99675.900535502,93688.85178589629,271722.1693197494,-172046.2687842474,148323.17818177218,-54634.3263958759,3,True,460.30348958333326,490.546875,670.2570951674184,358.3363641251626
180,198,2022-11-15,192668.36434068345,202052.23408206494,231710.90672358708,-39042.542382903644,103458.7340479203,98593.50003414464,3,True,437.4356250000001,437.2036458333334,618.0914568636534,559.0342995077855
180,199,2022-11-16,177322.19402865434,196385.92263681817,218640.2404424152,-41318.04641376086,117143.59106931035,79242.33156750782,3,True,406.5040104166667,421.83921875000004,621.5832918465406,628.4507461183753
180,200,2022-11-17,247505.04665338763,242413.6808119884,154063.64263482677,93441.40401856086,119769.346439794,122644.3343721944,4,True,320.96385416666664,278.9088541666667,563.8787040900913,917.1664053988537
180,201,2022-11-18,238942.67933028267,278598.56896700594,166653.57354943338,72289.10578084929,76055.92087344505,202542.64809356089,3,True,293.9678125,366.019375,600.1684087613128,821.2208606013718
180,202,2022-11-19,193273.33587059446,203345.58429710794,272451.5765816625,-79178.24071106807,188046.61175969164,15298.97253741631,4,True,493.77697916666665,543.8546354166666,578.6939416945538,442.23175871208167
180,203,2022-11-20,192668.1659618629,239388.28172542795,235265.3263753095,-42597.16041344662,102185.61004937351,137202.67167605445,3,True,448.2006250000001,530.7741666666667,592.9358415732061,508.76107011404906
180,204,2022-11-21,135819.19532912338,141408.5984954166,287600.412891479,-151781.2175623556,140533.1723250731,875.4261703434913,3,True,508.36640624999995,541.3963541666667,602.6228699866253,326.03684701210966
180,205,2022-11-22,244601.57317070753,241362.46316823756,285288.6982177743,-40687.12504706674,189463.59995305934,51898.863215178215,3,True,500.25015625,507.1558333333333,590.0342630372496,531.8162538757335
180,206,2022-11-23,273892.74213297974,301093.5001424588,189950.29129311335,83942.45083986639,115396.77976621765,185696.72037624117,3,True,345.24578125,399.2434895833333,588.5066590957625,803.4688860929757
180,207,2022-11-24,233828.16344856512,270465.6064988107,192613.75694456347,41214.40650400163,125634.30539735974,144831.30110145095,3,True,355.6812499999999,424.86546874999993,607.01838127343,726.7584998900857
180,208,2022-11-25,198149.29802119546,206214.97047842096,291008.4618810385,-92859.16385984304,207739.4529437932,-1524.4824653722358,3,True,502.17255208333336,512.56828125,600.6394561280008,431.21098424767365
180,209,2022-11-26,191539.107960424,179394.87701756702,170829.39146896673,20709.71649145729,80017.63392268229,99377.24309488473,3,True,396.6859895833333,403.7756770833333,528.7180931107664,642.2181090903557
210,210,2022-11-27,209041.79261402567,280591.7795495588,206201.40414254315,2840.3884714825363,96614.27922585042,183977.5003237084,3,True,401.8329166666667,468.3225,563.9904914914576,641.7606924859249
210,211,2022-11-28,257563.94936137454,309195.09491747944,142269.13717198154,115294.81218939302,33538.5,275656.59491747944,4,True,250.68218749999997,312.9120833333333,606.7605044907162,1005.2569330244467
210,212,2022-11-29,172300.9153305199,267785.2236219584,94002.80637608434,78298.10895443556,0.0,267785.2236219584,3,True,120.81416666666667,241.89229166666667,687.6380824163864,1129.0778893954237
210,213,2022-11-30,81353.75143782346,120371.23158842098,373545.306079826,-292191.55464200256,242510.9469997982,-122139.71541137723,3,True,488.46312499999993,588.3854687500001,771.7164159439124,293.40854116449754
210,214,2022-12-01,183341.9261173894,220020.7989125483,284746.49447127857,-101404.56835388915,45500.51475576745,174520.28415678086,3,True,424.9357291666667,497.411875,683.8231851559995,532.5062966847165
210,215,2022-12-02,149500.39408877466,156139.98361886432,272152.8308926062,-122652.43680383152,262888.37940420106,-106748.39578533673,3,True,412.57489583333336,478.2872916666667,677.0895287782884,442.03137390527445
210,216,2022-12-03,82386.38197267702,156431.5251567586,277713.59391964064,-195327.21194696362,112980.12813182124,43451.397024937374,3,True,438.4709895833333,581.4049479166666,650.4600546506811,322.78436144441395
210,217,2022-12-04,85293.99231554684,155474.03448859678,286645.0140456874,-201351.02173014055,120883.6344217062,34590.40006689058,3,True,481.30760416666664,624.7547916666666,610.6492543059263,290.6275739256989
210,218,2022-12-05,156943.14305584066,237415.10304950183,213864.1864086655,-56921.04335282484,66360.91942713979,171054.18362236203,3,True,384.45421874999994,547.1809375000001,587.9363944879648,504.55479432778594
210,219,2022-12-06,117172.00762313964,137702.14801419742,222809.90875330346,-105637.90113016382,158888.25017413206,-21186.102159934646,3,True,476.06880208333337,598.8398958333333,485.8224816847935,317.66268620597486
210,220,2022-12-07,216521.19901835307,216521.19901835307,183992.31596148282,32528.88305687026,183992.31596148282,32528.88305687026,3,True,506.75692708333327,504.3063541666667,383.0750810677912,463.36486714790544
210,221,2022-12-08,135060.02297810485,144470.9686285771,197802.64195470774,-62742.61897660289,138084.9535970208,6386.015031556295,3,True,501.51468750000004,561.8083333333333,420.65442070577683,314.986102390701
210,222,2022-12-09,242074.35850895388,250428.67778895673,123105.15734186873,118969.20116708515,65561.6748055908,184867.00298336594,3,True,375.8534374999999,378.82359375000004,380.94772365127716,856.944180088421
210,223,2022-12-10,310255.77081833803,326262.2518464725,131908.7102532166,178347.0605651214,67378.02640711534,258884.22543935716,3,True,341.41015625,403.81947916666667,436.6538430938615,933.709281932006
210,224,2022-12-11,317474.87737236,331281.9258153362,111702.65133425122,205772.22603810878,60750.66496738397,270531.2608479522,3,True,257.06223958333334,306.60473958333336,532.9232967634097,1196.1914923038848
210,225,2022-12-12,271572.888240981,262297.8833093174,171364.77382918424,100208.11441179672,87956.79467314322,174341.08863617416,4,True,283.5561979166667,288.0175520833333,667.8964233949048,1091.7302634765842
210,226,2022-12-13,216981.44629272207,247520.01454770166,269387.8229646578,-52406.376671935715,107510.15061157488,140009.86393612679,3,True,399.40562500000004,480.4657291666667,741.4681410967244,704.0936344669453
210,227,2022-12-14,208675.60892911506,222772.79804551997,179238.3113376706,29437.297591444458,65498.76514080901,157274.03290471097,3,True,239.71817708333333,294.3886458333333,785.9410175779656,1051.6552399738107
210,228,2022-12-15,136587.1520450085,169534.28688805833,427732.5140677204,-291145.3620227119,299887.7643344794,-130353.47744642108,3,True,519.2730208333334,583.7352604166666,857.4167608323241,354.9231092080512
210,229,2022-12-16,250140.08777655396,268358.6424830176,379951.4319016029,-129811.34412504893,191723.28966103532,76635.35282198226,3,True,436.03369791666665,497.17911458333333,899.8967497959377,641.2346054406837
