strategy,threshold,n,mean_revenue,std_revenue,sharpe,downside_std,sortino,ci95_half
naive,,9,16406735.1865387,2775864.671043756,5.910495334187018,646454.4297296567,25.379569590697827,1813564.918415254
optimal,,9,17468030.601269998,1868610.771186605,9.348137595384538,29083.433533165877,600.617894078771,1220825.7038419154
regime_aware,0.4,9,17246487.155429993,2072454.6028525035,8.321768366695279,122713.06630808434,140.54320109751666,1354003.6738636356
regime_aware,0.45,9,17235412.994801655,2140204.7168477788,8.053160923870404,130741.03181573153,131.82864442353122,1398267.081673882
regime_aware,0.5,9,17226463.047236383,2140117.715116707,8.049306318786755,160187.86953815405,107.53912326134864,1398210.2405429154
