window,compliance_revenue,compliance_clear_ratio,unconstrained_revenue,unconstrained_clear_ratio,compliance_tax,compliance_da,compliance_rt
day_1106-1196,17109712.817222513,0.5352614508483178,17889387.22808871,0.4381619045072634,779674.4108661972,8785707.049553204,8324005.767669307
day_1196-1286,18018057.56872749,0.6226779786670384,18860662.05486448,0.537904557814392,842604.4861369915,10073735.780260008,7944321.788467482
day_1286-1376,22011086.270033732,0.6032627083384102,22466777.128030345,0.5224452596583297,455690.8579966128,13470422.869552393,8540663.40048134
