mlt_fraction,mlt_mw,strategy,revenue,mlt_energy,mlt_congest,da_revenue,rt_revenue,clear
0.0,0.0,naive,14022636.001112722,0.0,0.0,13890362.44137288,132273.55973984578,0.9889042438786488
0.0,0.0,optimal,16225937.69750568,0.0,0.0,7241952.6728725,8983985.024633177,0.3492848235012667
0.0,0.0,regime_aware,15745564.219825674,0.0,0.0,10037632.3056375,5707931.914188177,0.6449377353890953
0.5,50.0,naive,34971058.87611272,41040000.0,0.0,-6201214.683627118,132273.55973984578,0.9889042438786488
0.5,50.0,optimal,37174360.572505675,41040000.0,0.0,-12849624.452127498,8983985.024633177,0.3492848235012667
0.5,50.0,regime_aware,36693987.09482566,41040000.0,0.0,-10053944.819362499,5707931.914188177,0.6449377353890953
0.7,70.0,naive,43350428.02611271,57456000.0,0.0,-14237845.533627115,132273.55973984578,0.9889042438786488
0.7,70.0,optimal,45553729.72250568,57456000.0,0.0,-20886255.3021275,8983985.024633177,0.3492848235012667
0.7,70.0,regime_aware,45073356.244825676,57456000.0,0.0,-18090575.6693625,5707931.914188177,0.6449377353890953
