day_idx,date,regime_rev,regime_cap,vae_rev,vae_cap,oracle_rev,vae_vs_regime
1522,2025-01-01,49849.823204391156,69.40948241200684,44206.33344373173,61.55164705562536,71819.9033793225,-5643.489760659424
1529,2025-01-08,97296.28003365237,66.23171427478235,93703.70921625245,63.7861724328162,146902.85628119067,-3592.5708173999155
1536,2025-01-15,82112.36659370032,60.69027066052084,89258.91229553442,65.9723714076374,135297.41373704997,7146.545701834097
1543,2025-01-22,87336.20495876494,78.64774758756207,71034.53749363234,63.96781698307279,111047.30604208293,-16301.667465132603
1550,2025-01-29,129421.51216705386,79.31318582839015,122678.95061505059,75.18115222455526,163177.80053254074,-6742.561552003273
1557,2025-02-05,118628.14009015338,48.899515501686416,156505.97263940392,64.51307615015266,242595.73714194,37877.83254925054
1564,2025-02-12,98996.72207765152,62.99480404215886,92501.41693540181,58.861632094211934,157150.61517041724,-6495.305142249708
1571,2025-02-19,109754.22266229452,94.81251913146727,93198.51532090441,80.51067013682461,115759.2095091462,-16555.70734139011
1578,2025-02-26,62580.995525938444,50.84644580258488,71168.99767784505,57.824113420358906,123078.40703146455,8588.002151906607
1585,2025-03-05,91729.93279146464,87.87705729157229,83404.10896035796,79.90093787732391,104384.3929446894,-8325.823831106682
1592,2025-03-12,131200.50342168548,83.65503678422554,123411.00265193846,78.68835634909365,156835.1511937,-7789.500769747028
1599,2025-03-19,105864.85661126488,74.56422793038797,112541.13868700432,79.26656102144351,141978.0765518,6676.282075739437
1606,2025-03-26,108888.3163434911,51.243068569171825,130190.83497397386,61.26807822617108,212493.74673280018,21302.518630482766
1613,2025-04-02,138787.94909753345,84.71824411880088,139984.11745487934,85.4484032108817,163822.9764334,1196.1683573458868
1620,2025-04-09,118317.61803174343,88.90530425276911,118586.0006647096,89.10697024332019,133082.743517025,268.3826329661679
1627,2025-04-16,150763.3762254928,92.96924310280565,140192.2160766554,86.45046657788875,162164.7882609717,-10571.1601488374
1634,2025-04-23,113780.20807946558,85.7845282332114,113469.81344253504,85.55050635941937,132634.88233,-310.39463693053403
1641,2025-04-30,67980.07841890692,41.89728573797252,84859.4652712807,52.300340728256124,162254.1346569736,16879.386852373776
1648,2025-05-07,78605.01185211235,62.90351590524972,58357.36162409085,46.700371116485755,124961.237414,-20247.6502280215
1655,2025-05-14,136294.26474037103,75.76756883786246,116417.00796536735,64.71757033736165,179884.70110745096,-19877.256775003683
1662,2025-05-21,129904.73281731106,93.47130436220932,133201.39648206602,95.84337692727513,138978.1962536,3296.6636647549603
1669,2025-05-28,127288.02156364394,86.64315810708655,127966.19255013387,87.1047795172104,146910.6440076,678.1709864899312
1676,2025-06-04,108772.18671141351,69.94977180585657,123708.96848162854,79.55539349950215,155500.41680379937,14936.781770215035
1683,2025-06-11,117114.30222486245,77.98626184389522,131468.73011050172,87.54485674171913,150172.99131389277,14354.427885639278
1690,2025-06-18,63857.11257268578,52.17664252671006,80218.92384245599,65.54562122490223,122386.3964416574,16361.811269770209
1697,2025-06-25,54218.41062630969,80.63324541792066,57001.74624761042,84.77260290996557,67240.76445800568,2783.3356213007282
1704,2025-07-02,62080.804910699895,74.89335578110274,62483.3436901286,75.378972552129,82892.27297031369,402.5387794287017
1711,2025-07-09,94049.87250932856,80.3142434840557,91335.36762583113,77.99618179683495,117102.35747660341,-2714.5048834974295
1718,2025-07-16,81799.51235255085,76.91144351975319,82410.53509078633,77.48595355617663,106355.45064440541,611.0227382354788
1725,2025-07-23,41075.23362870559,69.5244930174673,33181.63621758301,56.163683848295335,59080.23467123431,-7893.5974111225805
1732,2025-07-30,67602.9089638716,79.60084472750194,61631.427931145765,72.5695654265881,84927.37633036064,-5971.481032725831
1739,2025-08-06,51492.54285981131,67.15591130322586,58119.701652361124,75.79896645931957,76676.11362953516,6627.158792549817
1746,2025-08-13,77200.37390123538,83.0207901679655,81943.57297541584,88.12159622838955,92989.20637233829,4743.199074180462
1753,2025-08-20,39881.2099187193,65.34966997598457,33507.508875075364,54.90567239976723,61027.408299652154,-6373.701043643938
1760,2025-08-27,33151.1804636745,46.93061158671335,34783.868011335515,49.24193275446791,70638.71392858648,1632.6875476610148
1767,2025-09-03,7969.570394796034,14.568931236030929,42262.35782276905,77.25854148857346,54702.50539096658,34292.78742797302
1774,2025-09-10,87393.90760549912,88.87582706631969,87015.87827798881,88.49138757782052,98332.59558899546,-378.0293275103031
1781,2025-09-17,89317.40357680194,81.4539326767084,64957.61929610624,59.23877471913567,109653.88734673345,-24359.784280695698
1788,2025-09-24,107794.81461542005,91.21643939088655,107169.29649995573,90.68712325011748,118174.76688987034,-625.5181154643215
1795,2025-10-01,113530.61323586908,64.80808997891108,151843.78524846316,86.67887380010876,175179.69326485717,38313.17201259408
1802,2025-10-08,124302.94896722039,90.19466224964083,106330.89044562244,77.15407261154807,137816.30294614844,-17972.05852159795
1809,2025-10-15,27034.83797716981,24.355554993732532,32723.001,29.479993595245457,111000.70593393064,5688.163022830191
1816,2025-10-22,114307.06496070622,87.94010866553575,99783.51358032254,76.76667256130649,129982.856168,-14523.55138038368
1823,2025-10-29,134576.4050350564,89.05716156551733,131791.34207610623,87.21412078997609,151112.38969372676,-2785.062958950177
1830,2025-11-05,127585.30839776431,89.32396124718083,115928.08691428482,81.16260463710917,142834.36002653884,-11657.221483479487
1837,2025-11-12,108134.14360402024,87.56920117194835,93694.91212078318,75.87602153061158,123484.2183745529,-14439.231483237061
1844,2025-11-19,98348.0469910077,77.9553473482743,101856.14278218192,80.7360311981225,126159.46222601857,3508.09579117423
1851,2025-11-26,72193.34362499314,57.577267824429846,99447.328180117,79.31348184665978,125385.14999553651,27253.984555123854
1858,2025-12-03,94071.04563609151,71.5331679377886,110852.22479396648,84.29385215020937,131506.89162530002,16781.17915787497
1865,2025-12-10,23798.667182977755,51.59645237450007,26489.84902740592,57.4310411268683,46124.61920878014,2691.1818444281635
