day,quarter,actual_regime,pred_regime,correct,rev_hard,rev_soft,rev_stoch,rev_perfect,rev_oracle
1711,Q1,7,3,False,148335.01279659983,146035.47220211974,149311.9776479798,166456.52402783994,234204.71495320683
1712,Q2,11,9,False,135503.73072818996,134384.73072818996,118489.00188320977,142047.03360860993,202707.21442955625
1713,Q2,11,9,False,111078.00349676998,111916.44553575998,118346.22739903978,132849.42005577992,200058.5148511858
1714,Q2,9,9,True,163841.91861537998,165165.72543539,171640.36885519986,163841.91861537998,229768.82945027936
1715,Q2,11,0,False,95586.93479043976,119813.54342775985,114929.50107813977,200827.75537219987,243402.09267419655
1716,Q2,11,9,False,172288.03965808,171852.43965808,188279.00000000003,201610.29162817996,248147.8192976
1717,Q2,8,11,False,65557.50842551993,89243.46739651001,103200.04294033989,132086.54687009993,172757.4681718773
1718,Q2,11,0,False,111245.71418383978,122346.40000000001,143338.2342784798,130875.28238999989,212710.90128881083
1719,Q2,11,11,True,233865.40030428988,229790.02636577998,228090.33875657004,233865.40030428988,270122.12155197636
1720,Q2,11,11,True,208909.9026306099,214816.3026306098,216225.90287627096,208909.9026306099,263672.9980336039
1721,Q2,11,9,False,184703.67077164998,182658.12694437997,180376.07077164997,172315.7016329599,240050.45168114468
1722,Q2,11,9,False,128438.29271142001,123211.69271142001,106086.03575535992,122239.19223989996,201573.10024783388
1723,Q2,6,0,False,-29025.194112399993,-6897.389041999981,-27606.794746199987,33971.19999999998,98105.15104952038
1724,Q2,4,5,False,-3784.0,-3520.0,-3647.587140599999,-2424.0,0.0
1725,Q2,8,1,False,32160.000000000007,7018.200000000003,11217.870227219853,77383.21465177985,118160.46934246863
1726,Q2,2,11,False,32162.94910247997,21954.19999999999,28030.01792979998,17351.264381879984,84963.78813479497
1727,Q2,2,11,False,28122.13752794001,19849.016662200007,21371.600000000013,27546.977946739993,103920.37222883945
1728,Q2,2,5,False,9974.2,24843.814126999998,21738.399999999998,46885.772139759974,101695.44742024886
1729,Q2,2,5,False,5708.800000000011,26955.599999999988,5128.45595281997,53902.62998547998,102021.40952178769
1730,Q2,2,5,False,-26272.00000000001,-29986.19157720001,-32066.9915772,-5499.096621220035,87263.4138556
1731,Q2,2,10,False,-10210.99157720002,-4120.9909434000165,-3066.9928448000114,10354.773535819973,73227.2504198
1732,Q2,11,5,False,68580.00000000003,81713.80000000003,78571.6,112943.99397987995,169854.75266072128
1733,Q2,0,11,False,264193.51478309993,201565.15238098003,215626.80000000002,220925.0912578798,336243.77292018547
1734,Q2,0,9,False,86194.65241365998,88238.57833663998,97540.4,93233.94214993974,158029.94325080636
1735,Q2,11,9,False,132241.98152528,130354.918756,126213.71875600003,131731.03804166993,182037.98674676253
1736,Q2,9,9,True,174348.1042589,175642.61983674002,150563.45099242,174348.1042589,256631.22930582904
1737,Q2,8,9,False,64960.69499147998,64737.494991479994,71102.3404986598,73731.03562321985,126103.31643413471
1738,Q2,8,9,False,78325.53575100005,69777.00000000006,78593.20000000006,88715.57923861989,133585.6614228734
1739,Q2,0,0,True,74486.93331853974,79246.93331853976,91862.19999999997,74486.93331853974,153352.22725907032
