province,test_days,threshold,da_mpc,lgbm_mpc,perfect_mpc,da_vs_th_pct,lgbm_vs_th_pct,lgbm_vs_da_pct,da_zero_pct
shandong,365,37014827.949384496,39647929.49926301,43736962.883991964,56051144.739767954,7.113639845845346,18.16065427563131,10.313359200270373,1.1358447488584476
shanxi,365,37999068.025326006,51211202.30392189,55012219.96349793,67636494.44771853,34.76962716504028,44.772550544747105,7.422238667661476,8.718607305936073
guangdong,365,16566363.035796672,24251242.38886678,21966777.83138023,37363605.23285127,46.38845192794933,32.59867469953614,-9.419989792091219,0.1141552511415525
gansu,365,37249859.9970722,26385580.376121853,31287073.93185819,38728845.20189723,-29.165960950737173,-16.0075395335249,18.576409864275867,3.287671232876712
