day,pred_regime,actual_regime,correct,rev_regime,rev_perfect,rev_oracle
1622,2,2,True,221229.16087082992,221229.16087082992,263516.30641149695
1623,2,2,True,221025.61009602982,221025.61009602982,275788.63613832067
1624,2,5,False,95266.91702239997,50739.99999999999,159995.6993143
1625,2,4,False,140902.6722272999,149249.14378249986,275769.80462739995
1626,2,4,False,234189.15796650984,254498.91651744972,393876.58966303116
1627,2,2,True,208767.40207001995,208767.40207001995,267347.3859116
1628,2,2,True,281492.1779090399,281492.1779090399,324329.5765219434
1629,2,2,True,250246.96193087983,250246.96193087983,324733.0991088
1630,2,2,True,213661.05788536987,213661.05788536987,286392.99278325646
1631,2,2,True,215220.84048473995,215220.84048473995,270583.7563995876
1632,2,2,True,213057.69709672997,213057.69709672997,268220.329013
1633,2,4,False,284711.5507992199,288058.5043536199,498811.09829696914
1634,2,2,True,207575.30723133983,207575.30723133983,308487.3604169256
1635,2,2,True,225423.89331314998,225423.89331314998,265269.76466
1636,2,4,False,244380.24556523975,253997.51620983967,418367.86712400004
1637,2,2,True,251613.2316809199,251613.2316809199,295078.55907200003
1638,2,2,True,190658.84313623,190658.84313623,251086.5826968
1639,2,2,True,226989.81006889985,226989.81006889985,301581.860690205
1640,2,2,True,243074.59110889988,243074.59110889988,304968.6929385
1641,2,2,True,219564.1616636599,219564.1616636599,263011.2953204145
1642,2,2,True,199482.6630552499,199482.6630552499,324508.2693139472
1643,2,2,True,245754.48049397985,245754.48049397985,417578.39298005006
1644,2,2,True,231090.25826605991,231090.25826605991,293652.57894749194
1645,2,2,True,236052.83656281984,236052.83656281984,306725.379756
1646,2,2,True,252068.07222729988,252068.07222729988,291600.353756
1647,2,2,True,259706.3152056698,259706.3152056698,294521.96242
1648,2,2,True,218578.0011507599,218578.0011507599,297483.97909003973
1649,2,2,True,123903.66730206988,123903.66730206988,249922.474828
1650,2,4,False,82087.3459596499,118834.55087880984,194276.67146614747
1651,2,3,False,21827.30258448993,59599.79999999999,137186.96883192097
1652,2,2,True,208572.17998211988,208572.17998211988,294311.79940725
1653,2,2,True,186720.3324551199,186720.3324551199,261730.6691788
1654,2,2,True,178232.47832818996,178232.47832818996,220693.97242933125
1655,2,4,False,203193.00854762987,208560.88040112983,291894.2694292581
1656,2,2,True,249292.53310559987,249292.53310559987,359769.40221490193
1657,2,2,True,234487.0520004299,234487.0520004299,277564.196304
1658,2,2,True,183550.38111313985,183550.38111313985,292254.98125989997
1659,4,2,False,217228.13496500978,204140.56976070983,291576.55184
1660,2,2,True,213153.36228104983,213153.36228104983,301563.73812040006
1661,2,2,True,294023.85709834984,294023.85709834984,397332.87424379995
1662,2,2,True,269642.5536080399,269642.5536080399,365482.8914778688
1663,2,2,True,237830.80267417987,237830.80267417987,277956.3925072
1664,2,2,True,166969.02993504994,166969.02993504994,246976.4427364165
1665,2,0,False,175107.7936459399,223208.2152451199,286640.7663422789
1666,2,2,True,238328.45529719983,238328.45529719983,315414.2457633483
1667,2,2,True,269390.74055216985,269390.74055216985,326764.24440067855
1668,2,2,True,242076.20943383998,242076.20943383998,299792.44180760003
1669,2,2,True,252842.6883905098,252842.6883905098,317363.48822175
1670,2,2,True,249482.94240808988,249482.94240808988,293821.2880152
1671,2,2,True,245323.42525208992,245323.42525208992,292052.03780543024
1672,2,2,True,234282.8747631299,234282.8747631299,270828.75986234506
1673,2,2,True,67272.07687277987,67272.07687277987,238222.53890043212
1674,2,2,True,250083.67456271983,250083.67456271983,283762.85533258313
1675,2,2,True,238096.10196051988,238096.10196051988,310158.1761889659
1676,2,2,True,200097.26528906988,200097.26528906988,317374.76585477864
1677,2,2,True,245002.72252884996,245002.72252884996,311000.83360759873
1678,2,2,True,248653.68379687986,248653.68379687986,290254.45219057344
1679,2,2,True,248654.76819945988,248654.76819945988,283409.75825320004
1680,2,2,True,175947.65501889997,175947.65501889997,251611.8965692
1681,2,2,True,198171.47385582986,198171.47385582986,247369.05325170004
1682,2,2,True,207701.05069558995,207701.05069558995,257089.6558828929
1683,2,2,True,224081.7806251498,224081.7806251498,279108.4508820332
1684,2,2,True,246415.65886320983,246415.65886320983,300345.98262778553
1685,2,2,True,213701.9395911498,213701.9395911498,269488.51573954744
1686,2,2,True,223920.23532094987,223920.23532094987,260598.250596
1687,2,2,True,181351.70674308995,181351.70674308995,216043.45096021923
1688,2,2,True,218663.18315984998,218663.18315984998,275170.72312219447
1689,2,2,True,201849.67097811986,201849.67097811986,303104.2841637844
1690,2,2,True,253247.02324858,253247.02324858,301043.03757283324
1691,2,2,True,178223.23639606987,178223.23639606987,244772.7928833148
1692,2,3,False,-128549.76313526013,231857.0,338701.38318905316
1693,3,2,False,-96845.4,201571.7040749798,283443.90282865
1694,2,2,True,224049.1595524798,224049.1595524798,276384.30332813616
1695,4,2,False,226837.25950159988,226353.62049007992,272211.0180967043
1696,2,2,True,126976.77952858988,126976.77952858988,211721.71565079497
1697,2,2,True,189331.6913463599,189331.6913463599,245999.67666758722
1698,2,2,True,106901.27995082988,106901.27995082988,134481.52891601136
1699,2,3,False,44253.61648330993,52374.8,98237.57256525772
1700,2,1,False,31183.52037617988,58275.8,123862.12369958255
