province,test_days,threshold,naive_mpc,lgbm_mpc_cont,lgbm_mpc_soc,perfect_mpc,perfect_mpc_soc,oracle_disc,oracle_cont,lgbm_soc_vs_th_pct,lgbm_soc_pct_oracle,best_cr,best_dr
shandong,365,37014827.949384496,26411505.89278016,43736962.883991964,43736962.883991964,56051144.739767954,56051144.739767954,81347077.47531782,83084146.38049321,18.16065427563131,53.76586872129801,0.5,1.25
shanxi,365,37999068.025326006,33294991.80884014,55012219.96349793,55012219.96349793,67636494.44771853,67636494.44771853,96581266.27245171,98776813.71462408,44.772550544747105,56.95951408248341,0.8500000000000003,1.4000000000000001
guangdong,365,16566363.035796672,17487433.790219434,21966777.83138023,21966777.83138023,37363605.23285127,37363605.23285127,62136323.69130039,63354604.932173446,32.59867469953614,35.352554715842906,0.8500000000000003,1.15
gansu,365,37249859.9970722,11993668.690750336,31287073.93185819,31287073.93185819,38728845.20189723,38728845.20189723,76483435.26311487,77897294.92253512,-16.0075395335249,40.9069935525592,0.7000000000000002,1.15
